trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.53,3.14,1.53,3.14,3,3,0,1,1,0
1,2.42,3.14,3.14,2.42,1,1,0,1,2,0
2,3.84,3.14,3.14,3.84,3,3,1,3,3,0
3,2.42,3.14,3.14,2.42,1,1,1,1,4,0
4,3.05,3.14,3.05,3.14,3,3,1,1,5,0
5,3.84,3.14,3.84,3.14,1,2,1,2,5,1
6,3.84,3.14,3.14,3.84,3,3,2,3,6,1
7,3.05,3.14,3.14,3.05,1,2,2,2,6,2
8,3.42,3.14,3.42,3.14,1,1,3,3,7,2
9,3.05,3.14,3.05,3.14,3,3,3,1,8,2
10,3.23,3.14,3.23,3.14,1,2,3,2,8,3
11,3.23,3.14,3.23,3.14,1,3,3,1,8,4
12,3.42,3.14,3.14,3.42,3,3,4,3,9,4
13,3.23,3.14,3.23,3.14,1,3,4,1,9,5
