trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.86,5.98,5.98,2.86,1,1,0,1,1,0
1,4.53,5.98,5.98,4.53,1,1,0,1,2,0
2,7.18,5.98,7.18,5.98,1,1,1,3,3,0
3,4.53,5.98,5.98,4.53,1,1,1,1,4,0
4,5.7,5.98,5.98,5.7,1,2,1,2,4,1
5,5.7,5.98,5.98,5.7,1,2,1,2,4,2
6,7.18,5.98,7.18,5.98,1,1,2,3,5,2
7,5.7,5.98,5.98,5.7,1,2,2,2,5,3
8,6.4,5.98,5.98,6.4,3,3,3,3,6,3
9,5.7,5.98,5.7,5.98,3,3,3,1,7,3
10,6.04,5.98,5.98,6.04,3,1,3,1,7,4
11,6.4,5.98,6.4,5.98,1,3,3,1,7,5
12,6.78,5.98,5.98,6.78,3,2,3,2,7,6
13,6.78,5.98,6.78,5.98,1,1,4,3,8,6
14,6.4,5.98,6.4,5.98,1,2,4,2,8,7
15,6.59,5.98,5.98,6.59,3,3,5,3,9,7
16,6.4,5.98,5.98,6.4,3,3,5,3,10,7
