time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle','Bookmark'
1311.302,180.0,2.608695652173913,2.6709401709401703,0.44,0,0,1
1311.754,180.0,2.608695652173913,2.649572649572651,0.18,0,0,1
1312.206,180.0,2.608695652173913,2.649572649572651,0.18,0,0,1
1312.658,180.0,2.608695652173913,2.713675213675213,0.18,0,0,1
1313.111,180.0,2.608695652173913,2.6068376068376082,0.18,0,0,1
1313.564,180.0,2.608695652173913,2.585470085470085,0.35,0,0,1
1314.016,180.0,2.608695652173913,2.713675213675213,0.26,0,0,1
1314.469,180.0,2.608695652173913,2.6709401709401703,0.09,0,0,1
1314.921,180.0,2.608695652173913,2.585470085470085,0.26,0,0,1
1315.374,180.0,2.608695652173913,2.6068376068376082,0.26,0,0,1
1315.826,180.0,2.608695652173913,2.7564102564102555,0.26,0,0,1
1316.278,180.0,2.608695652173913,2.7564102564102555,0.44,0,0,1
1316.73,180.0,2.608695652173913,2.735042735042736,0.18,0,0,1
1317.183,180.0,2.608695652173913,2.6709401709401703,0.0,0,0,1
1317.635,180.0,2.608695652173913,2.6923076923076934,0.0,0,0,1
1318.087,180.0,2.608695652173913,2.6282051282051277,-0.09,0,0,1
1318.54,180.0,2.608695652173913,2.7564102564102555,0.09,0,0,1
1318.992,180.0,2.608695652173913,2.5641025641025657,0.18,0,0,1
1319.445,180.0,2.608695652173913,2.649572649572651,0.26,0,0,1
1319.898,180.0,2.608695652173913,2.6068376068376082,0.53,0,0,1
1320.35,180.0,2.608695652173913,2.585470085470085,0.44,0,0,1
1320.802,180.0,2.608695652173913,2.713675213675213,0.53,0,0,1
1321.254,180.0,2.608695652173913,2.6923076923076934,0.35,0,0,1
1321.708,180.0,2.608695652173913,2.6709401709401703,0.44,0,0,1
1322.16,180.0,2.608695652173913,2.6068376068376082,0.35,0,0,1
1322.612,180.0,2.608695652173913,2.735042735042736,0.53,0,0,1
1323.064,180.0,2.608695652173913,2.649572649572651,0.62,0,0,1
1323.516,180.0,2.608695652173913,2.585470085470085,0.62,0,0,1
1323.97,180.0,2.608695652173913,2.713675213675213,0.26,0,0,1
1324.422,180.0,2.608695652173913,2.6282051282051277,0.44,0,0,1
1324.874,180.0,2.608695652173913,2.6282051282051277,0.44,0,0,1
1325.326,180.0,2.608695652173913,2.585470085470085,0.53,0,0,1
1325.779,180.0,2.608695652173913,2.649572649572651,0.35,0,0,1
1326.232,180.0,2.608695652173913,2.6282051282051277,0.26,0,0,1
1326.684,180.0,2.608695652173913,2.6923076923076934,0.35,0,0,1
1327.136,180.0,2.608695652173913,2.585470085470085,0.53,0,0,1
1327.589,180.0,2.608695652173913,2.585470085470085,0.35,0,0,1
1328.041,180.0,2.608695652173913,2.713675213675213,0.53,0,0,1
1328.494,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1328.946,180.0,2.608695652173913,2.713675213675213,0.53,0,0,1
1329.399,180.0,2.608695652173913,2.6709401709401703,0.53,0,0,1
1329.851,180.0,2.608695652173913,2.6709401709401703,0.53,0,0,1
1330.304,180.0,2.608695652173913,2.6923076923076934,0.53,0,0,1
1330.756,180.0,2.608695652173913,2.713675213675213,0.62,0,0,1
1331.208,180.0,2.608695652173913,2.585470085470085,0.53,0,0,1
1331.66,180.0,2.608695652173913,2.713675213675213,0.62,0,0,1
1332.114,180.0,2.608695652173913,2.585470085470085,0.62,0,0,1
1332.566,180.0,2.608695652173913,2.585470085470085,0.62,0,0,1
1333.018,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1333.471,180.0,2.608695652173913,2.6923076923076934,0.44,0,0,1
1333.924,180.0,2.608695652173913,2.6923076923076934,0.53,0,0,1
1334.376,180.0,2.608695652173913,2.6282051282051277,0.62,0,0,1
1334.829,180.0,2.608695652173913,2.713675213675213,0.62,0,0,1
1335.281,180.0,2.608695652173913,2.5427350427350426,0.62,0,0,1
1335.733,180.0,2.608695652173913,2.713675213675213,0.79,0,0,1
1336.185,180.0,2.608695652173913,2.6282051282051277,0.62,0,0,1
1336.637,180.0,2.608695652173913,2.6709401709401703,0.44,0,0,1
1337.091,180.0,2.608695652173913,2.585470085470085,0.44,0,0,1
1337.543,180.0,2.608695652173913,2.585470085470085,0.53,0,0,1
1337.995,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1338.448,180.0,2.608695652173913,2.585470085470085,0.44,0,0,1
1338.9,180.0,2.608695652173913,2.6282051282051277,0.35,0,0,1
1339.353,180.0,2.608695652173913,2.5641025641025657,0.53,0,0,1
1339.805,180.0,2.608695652173913,2.6709401709401703,0.35,0,0,1
1340.257,180.0,2.608695652173913,2.5641025641025657,0.44,0,0,1
1340.71,180.0,2.608695652173913,2.6282051282051277,0.44,0,0,1
1341.163,180.0,2.608695652173913,2.6923076923076934,0.44,0,0,1
1341.615,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1342.068,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1342.52,180.0,2.608695652173913,2.713675213675213,0.35,0,0,1
1342.973,180.0,2.608695652173913,2.5641025641025657,0.53,0,0,1
1343.425,180.0,2.608695652173913,2.6282051282051277,0.35,0,0,1
1343.878,180.0,2.608695652173913,2.6709401709401703,0.18,0,0,1
1344.33,180.0,2.608695652173913,2.649572649572651,0.44,0,0,1
1344.782,180.0,2.608695652173913,2.649572649572651,0.44,0,0,1
1345.235,180.0,2.608695652173913,2.585470085470085,0.26,0,0,1
1345.687,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1346.14,180.0,2.608695652173913,2.5641025641025657,0.44,0,0,1
1346.592,180.0,2.608695652173913,2.6282051282051277,0.18,0,0,1
1347.045,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1347.497,180.0,2.608695652173913,2.649572649572651,0.35,0,0,1
1347.949,180.0,2.608695652173913,2.6282051282051277,0.18,0,0,1
1348.402,180.0,2.608695652173913,2.713675213675213,0.53,0,0,1
1348.854,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1349.307,180.0,2.608695652173913,2.6923076923076934,0.44,0,0,1
1349.759,180.0,2.608695652173913,2.6709401709401703,0.44,0,0,1
1350.211,180.0,2.608695652173913,2.6923076923076934,0.79,0,0,1
1350.664,180.0,2.608695652173913,2.585470085470085,0.26,0,0,1
1351.116,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1351.569,180.0,2.608695652173913,2.6709401709401703,0.44,0,0,1
1352.021,180.0,2.608695652173913,2.6068376068376082,0.44,0,0,1
1352.473,180.0,2.608695652173913,2.6068376068376082,0.44,0,0,1
1352.925,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1353.378,180.0,2.608695652173913,2.6923076923076934,0.53,0,0,1
1353.831,180.0,2.608695652173913,2.6923076923076934,0.53,0,0,1
1354.283,180.0,2.608695652173913,2.6068376068376082,0.62,0,0,1
1354.735,180.0,2.608695652173913,2.649572649572651,0.62,0,0,1
1355.188,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1355.641,180.0,2.608695652173913,2.6282051282051277,0.44,0,0,1
1356.093,180.0,2.608695652173913,2.649572649572651,0.44,0,0,1
1356.545,180.0,2.608695652173913,2.735042735042736,0.53,0,0,1
1356.997,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1357.45,180.0,2.608695652173913,2.649572649572651,0.62,0,0,1
1357.903,180.0,2.608695652173913,2.735042735042736,0.62,0,0,1
1358.355,180.0,2.608695652173913,2.649572649572651,0.7,0,0,1
1358.807,180.0,2.608695652173913,2.713675213675213,0.53,0,0,1
1359.259,180.0,2.608695652173913,2.6709401709401703,0.62,0,0,1
1359.713,180.0,2.608695652173913,2.649572649572651,0.62,0,0,1
1360.165,180.0,2.608695652173913,2.6709401709401703,0.53,0,0,1
1360.617,180.0,2.608695652173913,2.649572649572651,0.53,0,0,1
1361.07,180.0,2.608695652173913,2.6282051282051277,0.53,0,0,1
1361.522,180.0,2.608695652173913,2.6282051282051277,0.62,0,0,1
1361.974,180.0,2.608695652173913,2.6068376068376082,0.53,0,0,1
1362.426,180.0,2.608695652173913,2.6923076923076934,0.35,0,0,1
