trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.64,3.15,3.15,0.64,1,1,0,1,1,0
1,1.01,3.15,3.15,1.01,1,1,0,1,2,0
2,1.6,3.15,1.6,3.15,3,3,0,1,3,0
3,2.54,3.15,3.15,2.54,1,1,0,1,4,0
4,4.03,3.15,3.15,4.03,3,3,1,3,5,0
5,2.54,3.15,3.15,2.54,1,2,1,2,5,1
6,3.2,3.15,3.2,3.15,1,2,1,2,5,2
7,3.2,3.15,3.2,3.15,1,2,1,2,5,3
8,4.03,3.15,4.03,3.15,1,1,2,3,6,3
9,3.2,3.15,3.2,3.15,1,2,2,2,6,4
10,3.59,3.15,3.15,3.59,3,2,2,2,6,5
11,3.59,3.15,3.15,3.59,3,2,2,2,6,6
12,4.03,3.15,4.03,3.15,1,2,2,2,6,7
13,4.03,3.15,3.15,4.03,3,3,3,3,7,7
14,3.59,3.15,3.59,3.15,1,2,3,2,7,8
15,3.8,3.15,3.15,3.8,3,2,3,2,7,9
