trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,15.71,8.79,15.71,8.79,1,1,0,1,1,0
1,11.64,8.79,11.64,8.79,1,1,0,1,2,0
2,8.63,8.79,8.79,8.63,1,1,1,3,3,0
3,11.64,8.79,8.79,11.64,3,3,1,1,4,0
4,10.22,8.79,10.22,8.79,1,1,1,1,5,0
5,8.97,8.79,8.97,8.79,1,3,2,3,5,1
6,10.22,8.79,8.79,10.22,3,3,2,1,6,1
7,9.61,8.79,9.61,8.79,1,3,3,3,6,2
8,10.22,8.79,10.22,8.79,1,1,3,1,7,2
9,9.92,8.79,9.92,8.79,1,2,3,2,7,3
10,9.92,8.79,8.79,9.92,3,2,3,2,7,4
11,9.63,8.79,9.63,8.79,1,2,3,2,7,5
12,9.63,8.79,9.63,8.79,1,1,3,1,8,5
13,9.35,8.79,9.35,8.79,1,1,3,1,9,5
