trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,16.54,8.79,16.54,8.79,1,1,0,1,1,0
1,12.26,8.79,12.26,8.79,1,1,0,1,2,0
2,9.09,8.79,9.09,8.79,1,3,1,3,2,1
3,12.26,8.79,12.26,8.79,1,1,1,1,3,1
4,10.76,8.79,8.79,10.76,3,3,1,1,4,1
5,9.45,8.79,8.79,9.45,3,3,1,1,5,1
6,8.3,8.79,8.79,8.3,1,1,2,3,6,1
7,9.45,8.79,8.79,9.45,3,3,2,1,7,1
8,8.89,8.79,8.89,8.79,1,3,3,3,7,2
9,9.45,8.79,9.45,8.79,1,1,3,1,8,2
10,9.17,8.79,9.17,8.79,1,3,4,3,8,3
11,9.45,8.79,9.45,8.79,1,1,4,1,9,3
12,9.31,8.79,8.79,9.31,3,2,4,2,9,4
13,9.31,8.79,8.79,9.31,3,1,5,3,9,5
14,9.31,8.79,8.79,9.31,3,3,5,1,10,5
