trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,3.3,8.79,3.3,8.79,3,3,0,1,1,0
1,5.23,8.79,8.79,5.23,1,1,0,1,2,0
2,8.29,8.79,8.29,8.79,3,3,0,1,3,0
3,13.14,8.79,8.79,13.14,3,3,1,3,4,0
4,8.29,8.79,8.79,8.29,1,3,2,3,4,1
5,13.14,8.79,8.79,13.14,3,3,3,3,5,1
6,8.29,8.79,8.29,8.79,3,3,3,1,6,1
7,8.78,8.79,8.79,8.78,1,3,4,3,6,2
8,8.29,8.79,8.79,8.29,1,3,5,3,6,3
9,8.78,8.79,8.78,8.79,3,2,5,2,6,4
10,8.41,8.79,8.79,8.41,1,3,6,3,6,5
11,8.78,8.79,8.78,8.79,3,2,6,2,6,6
12,8.47,8.79,8.47,8.79,3,3,6,1,7,6
