trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.97,4.63,4.63,0.97,1,1,0,1,1,0
1,1.54,4.63,1.54,4.63,3,3,0,1,2,0
2,2.44,4.63,2.44,4.63,3,3,0,1,3,0
3,3.87,4.63,3.87,4.63,3,3,0,1,4,0
4,6.13,4.63,6.13,4.63,1,1,1,3,5,0
5,3.87,4.63,3.87,4.63,3,3,1,1,6,0
6,4.87,4.63,4.63,4.87,3,3,2,3,7,0
7,3.87,4.63,3.87,4.63,3,3,2,1,8,0
8,4.34,4.63,4.63,4.34,1,1,2,1,9,0
9,4.87,4.63,4.63,4.87,3,1,2,1,9,1
10,5.46,4.63,4.63,5.46,3,3,3,3,10,1
11,4.87,4.63,4.87,4.63,1,1,4,3,11,1
12,5.46,4.63,4.63,5.46,3,3,5,3,12,1
13,4.87,4.63,4.87,4.63,1,3,5,1,12,2
