trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.64,8.79,1.64,8.79,3,3,0,1,1,0
1,2.6,8.79,8.79,2.6,1,1,0,1,2,0
2,4.12,8.79,8.79,4.12,1,1,0,1,3,0
3,6.53,8.79,8.79,6.53,1,1,0,1,4,0
4,10.35,8.79,8.79,10.35,3,3,1,3,5,0
5,6.53,8.79,8.79,6.53,1,1,1,1,6,0
6,8.22,8.79,8.79,8.22,1,1,1,1,7,0
7,10.35,8.79,10.35,8.79,1,1,2,3,8,0
8,8.22,8.79,8.79,8.22,1,2,2,2,8,1
9,11.61,8.79,11.61,8.79,1,1,3,3,9,1
10,8.22,8.79,8.22,8.79,3,3,3,1,10,1
11,8.71,8.79,8.79,8.71,1,1,3,1,11,1
12,9.23,8.79,9.23,8.79,1,2,3,2,11,2
13,9.23,8.79,9.23,8.79,1,1,4,3,12,2
14,9.23,8.79,8.79,9.23,3,1,4,1,12,3
15,9.5,8.79,9.5,8.79,1,3,4,1,12,4
16,9.78,8.79,8.79,9.78,3,1,4,1,12,5
17,10.07,8.79,8.79,10.07,3,1,4,1,12,6
18,10.36,8.79,10.36,8.79,1,1,5,3,13,6
19,10.07,8.79,8.79,10.07,3,3,6,3,14,6
20,10.36,8.79,8.79,10.36,3,3,7,3,15,6
21,10.07,8.79,10.07,8.79,1,1,8,3,16,6
