247,0.06
255,0.39
253,1.32
255,3.16
252,6.11
255,10.30
255,15.78
254,22.55
255,30.54
252,39.68
252,49.85
256,60.90
255,72.69
256,85.05
256,97.82
253,110.85
254,123.98
255,137.05
251,149.95
253,162.52
248,174.67
252,186.28
252,197.28
256,207.60
252,217.18
258,226.00
256,234.03
256,241.27
257,247.72
257,253.41
256,258.34
255,262.54
255,266.06
257,268.93
255,271.19
255,272.88
255,274.06
255,274.77
255,275.07
255,274.99
252,274.60
255,273.92
257,273.02
256,271.93
256,270.70
256,269.36
255,267.96
255,266.52
255,265.07
254,263.64
252,262.24
256,260.89
254,259.61
255,258.40
252,257.27
255,256.24
253,255.30
256,254.45
256,253.71
258,253.06
256,252.52
256,252.09
255,251.75
256,251.51
256,251.35
252,251.27
255,251.26
256,251.31
258,251.41
257,251.56
257,251.75
256,251.98
255,252.24
252,252.52
256,252.82
256,253.11
255,253.41
255,253.70
252,253.98
254,254.25
252,254.49
255,254.71
255,254.90
257,255.06
259,255.20
256,255.32
259,255.43
258,255.53
256,255.62
258,255.71
256,255.80
259,255.88
257,255.97
257,256.05
255,256.13
256,256.22
259,256.29
256,256.36
259,256.43
257,256.50
256,256.56
256,256.62
259,256.68
259,256.73
259,256.79
258,256.84
259,256.90
258,256.96
259,257.03
255,257.10
255,257.17
257,257.24
255,257.29
257,257.34
256,257.38
257,257.40
259,257.41
256,257.42
255,257.42
258,257.41
256,257.39
257,257.37
256,257.34
