time,flex sensor,"actuator position, command","actuator position, measured",force
0.001,444.0,4.700000000000001,6.968174204355108,-0.3522504892367906
0.013,446.0,4.92,6.130653266331658,-0.3522504892367906
0.026,445.0,4.92,5.7621440536013395,-0.3522504892367906
0.039,430.0,2.9400000000000013,5.628140703517587,-0.3522504892367906
0.052,449.0,5.359999999999999,5.628140703517587,-0.3522504892367906
0.064,445.0,4.92,5.628140703517587,-0.3522504892367906
0.076,445.0,4.92,5.527638190954773,-0.1761252446183953
0.089,442.0,4.48,5.360134003350083,-0.1761252446183953
0.102,446.0,4.92,5.527638190954773,-0.26418786692759294
0.114,445.0,4.92,5.6951423785594635,-0.1761252446183953
0.126,461.0,6.900000000000002,5.594639865996649,-0.26418786692759294
0.14,446.0,4.92,5.561139028475711,-0.3522504892367906
0.153,443.0,4.700000000000001,5.561139028475711,-0.3522504892367906
0.165,456.0,6.240000000000002,5.628140703517587,-0.3522504892367906
0.178,445.0,4.92,5.527638190954773,-0.1761252446183953
0.19,446.0,4.92,5.259631490787269,-0.26418786692759294
0.203,442.0,4.48,5.226130653266331,-0.26418786692759294
0.217,445.0,4.92,5.427135678391959,-0.3522504892367906
0.229,447.0,5.140000000000001,5.527638190954773,-0.3522504892367906
0.241,438.0,4.040000000000001,5.561139028475711,-0.3522504892367906
0.253,445.0,4.92,5.561139028475711,-0.3522504892367906
0.267,445.0,4.92,5.427135678391959,-0.3522504892367906
0.279,444.0,4.700000000000001,5.527638190954773,-0.3522504892367906
0.291,446.0,4.92,5.393634840871021,-0.3522504892367906
0.304,444.0,4.700000000000001,5.460636515912897,-0.3522504892367906
0.318,444.0,4.700000000000001,5.6951423785594635,-0.1761252446183953
0.33,445.0,4.92,5.6951423785594635,-0.1761252446183953
0.343,444.0,4.700000000000001,5.561139028475711,-0.08806262230919765
0.355,451.0,5.580000000000002,5.561139028475711,-0.08806262230919765
0.368,446.0,4.92,5.6616415410385255,-0.08806262230919765
0.381,451.0,5.580000000000002,5.628140703517587,-0.08806262230919765
0.394,445.0,4.92,5.561139028475711,-0.26418786692759294
0.406,446.0,4.92,5.494137353433835,-0.1761252446183953
0.418,443.0,4.700000000000001,5.7286432160804015,-0.26418786692759294
0.431,444.0,4.700000000000001,5.829145728643216,-0.3522504892367906
0.444,443.0,4.700000000000001,5.6616415410385255,-0.3522504892367906
0.456,449.0,5.359999999999999,5.594639865996649,-0.3522504892367906
0.468,445.0,4.92,5.594639865996649,-0.1761252446183953
0.481,461.0,6.900000000000002,5.628140703517587,-0.08806262230919765
0.495,445.0,4.92,5.561139028475711,-0.08806262230919765
0.507,454.0,6.02,5.192629815745393,-0.08806262230919765
0.52,446.0,4.92,5.527638190954773,-0.26418786692759294
0.533,438.0,4.040000000000001,5.561139028475711,-0.1761252446183953
0.545,435.0,3.6000000000000014,5.594639865996649,-0.26418786692759294
0.559,441.0,4.260000000000002,5.561139028475711,-0.26418786692759294
0.571,446.0,4.92,5.561139028475711,-0.1761252446183953
0.583,444.0,4.700000000000001,5.460636515912897,-0.08806262230919765
0.595,446.0,4.92,5.460636515912897,-0.08806262230919765
0.609,439.0,4.040000000000001,5.494137353433835,-0.26418786692759294
0.621,453.0,5.800000000000001,5.628140703517587,-0.26418786692759294
0.633,444.0,4.700000000000001,5.628140703517587,-0.1761252446183953
0.646,449.0,5.359999999999999,5.594639865996649,-0.08806262230919765
0.659,453.0,5.800000000000001,5.594639865996649,-0.08806262230919765
0.672,443.0,4.700000000000001,5.7286432160804015,-0.08806262230919765
0.685,446.0,4.92,5.6951423785594635,-0.08806262230919765
0.698,442.0,4.48,5.628140703517587,-0.08806262230919765
0.71,445.0,4.92,5.561139028475711,-0.08806262230919765
0.722,445.0,4.92,5.561139028475711,-0.08806262230919765
0.736,447.0,5.140000000000001,5.561139028475711,-0.08806262230919765
0.748,446.0,4.92,5.393634840871021,-0.08806262230919765
0.76,445.0,4.92,5.427135678391959,-0.08806262230919765
0.774,443.0,4.700000000000001,5.494137353433835,-0.08806262230919765
0.786,446.0,4.92,5.058626465661641,-0.08806262230919765
0.798,447.0,5.140000000000001,5.326633165829145,-0.08806262230919765
0.811,436.0,3.8200000000000003,5.460636515912897,-0.08806262230919765
0.824,445.0,4.92,5.326633165829145,-0.08806262230919765
0.836,447.0,5.140000000000001,5.460636515912897,-0.26418786692759294
0.849,445.0,4.92,5.7956448911222775,-0.3522504892367906
0.862,446.0,4.92,5.628140703517587,-0.3522504892367906
0.875,447.0,5.140000000000001,5.393634840871021,-0.3522504892367906
0.887,444.0,4.700000000000001,5.996649916247906,-0.3522504892367906
0.9,445.0,4.92,6.030150753768844,-0.1761252446183953
0.913,443.0,4.700000000000001,5.7621440536013395,-0.1761252446183953
0.925,453.0,5.800000000000001,5.594639865996649,-0.08806262230919765
0.939,445.0,4.92,5.494137353433835,-0.08806262230919765
0.951,435.0,3.6000000000000014,5.561139028475711,-0.08806262230919765
0.963,448.0,5.140000000000001,5.561139028475711,-0.08806262230919765
0.975,445.0,4.92,5.527638190954773,-0.08806262230919765
0.989,450.0,5.580000000000002,6.030150753768844,-0.08806262230919765
1.001,423.0,2.0600000000000005,5.7956448911222775,-0.08806262230919765
1.013,447.0,5.140000000000001,5.628140703517587,-0.08806262230919765
1.028,444.0,4.700000000000001,5.293132328308207,-0.08806262230919765
1.04,444.0,4.700000000000001,5.427135678391959,-0.08806262230919765
1.052,442.0,4.48,5.561139028475711,-0.08806262230919765
1.064,439.0,4.040000000000001,5.628140703517587,0.0
1.078,441.0,4.260000000000002,5.92964824120603,0.0
1.091,440.0,4.260000000000002,5.6616415410385255,0.0
1.103,440.0,4.260000000000002,5.6951423785594635,0.0
1.117,440.0,4.260000000000002,6.063651591289782,-0.1761252446183953
1.129,440.0,4.260000000000002,5.594639865996649,-0.26418786692759294
1.141,442.0,4.48,5.628140703517587,-0.3522504892367906
1.155,443.0,4.700000000000001,5.6616415410385255,-0.3522504892367906
1.168,440.0,4.260000000000002,5.460636515912897,-0.1761252446183953
1.18,439.0,4.040000000000001,5.628140703517587,-0.08806262230919765
1.192,437.0,3.8200000000000003,6.09715242881072,0.0
1.205,436.0,3.8200000000000003,5.896147403685092,0.0
1.218,439.0,4.040000000000001,5.92964824120603,0.0
1.23,450.0,5.580000000000002,5.829145728643216,0.0
1.243,442.0,4.48,0.9715242881072044,0.08806262230919765
1.256,657.0,30.88,-0.4690117252931323,0.0
1.269,651.0,30.220000000000002,-1.0050251256281406,0.0
1.282,652.0,30.44,-1.1725293132328325,0.0
1.294,653.0,30.44,-1.4070351758793969,-0.1761252446183953
1.307,649.0,30.000000000000004,-1.3065326633165846,-0.08806262230919765
1.319,655.0,30.66,-1.474036850921273,-0.08806262230919765
1.333,654.0,30.66,-1.4405360134003367,-0.26418786692759294
1.346,653.0,30.44,-1.5075376884422127,-0.26418786692759294
1.358,654.0,30.66,-1.4405360134003367,-0.3522504892367906
1.371,654.0,30.66,-1.3735343383584606,-0.3522504892367906
1.384,657.0,30.88,-1.3400335008375208,-0.1761252446183953
1.397,655.0,30.66,-1.2730318257956448,-0.1761252446183953
1.41,650.0,30.220000000000002,-1.3735343383584606,-0.26418786692759294
1.423,654.0,30.66,-1.3735343383584606,-0.1761252446183953
1.435,654.0,30.66,-1.541038525963149,-0.26418786692759294
1.447,512.0,13.060000000000002,1.675041876046901,-0.3522504892367906
1.46,512.0,13.060000000000002,2.5795644891122294,-0.3522504892367906
1.473,516.0,13.5,3.0485762144053616,-0.3522504892367906
1.485,524.0,14.600000000000001,3.015075376884422,-0.1761252446183953
1.498,530.0,15.260000000000002,3.149078726968174,-0.26418786692759294
1.511,524.0,14.600000000000001,3.082077051926298,-0.1761252446183953
1.524,557.0,18.560000000000002,2.7805695142378575,-0.1761252446183953
1.537,537.0,16.14,2.6130653266331656,-0.08806262230919765
1.549,546.0,17.240000000000002,2.5460636515912896,-0.26418786692759294
1.562,529.0,15.260000000000002,2.5125628140703533,-0.3522504892367906
1.575,535.0,15.920000000000002,2.4790619765494135,-0.3522504892367906
1.589,567.0,19.880000000000003,2.5460636515912896,-0.3522504892367906
1.601,537.0,16.14,2.6465661641541054,-0.3522504892367906
1.613,587.0,22.3,2.6130653266331656,-0.3522504892367906
1.627,539.0,16.36,2.5125628140703533,-0.1761252446183953
1.64,540.0,16.580000000000002,2.4790619765494135,-0.1761252446183953
1.652,543.0,17.02,2.4455611390284773,-0.08806262230919765
1.665,539.0,16.36,2.2780569514237854,0.0
1.678,540.0,16.580000000000002,2.311557788944725,0.08806262230919765
1.69,579.0,21.419999999999998,2.4790619765494135,0.26418786692759294
1.702,545.0,17.240000000000002,2.5460636515912896,0.26418786692759294
1.716,545.0,17.240000000000002,2.5460636515912896,0.3522504892367906
1.728,540.0,16.580000000000002,2.4120603015075375,0.5283757338551859
1.74,535.0,15.920000000000002,2.4120603015075375,0.6164383561643836
1.754,543.0,17.02,2.5460636515912896,0.6164383561643836
1.767,524.0,14.600000000000001,2.4120603015075375,0.6164383561643836
1.779,543.0,17.02,2.8140703517587937,0.6164383561643836
1.792,540.0,16.580000000000002,2.5460636515912896,0.7925636007827789
1.805,544.0,17.02,3.2495812395309898,0.9686888454011742
1.818,548.0,17.46,3.283082077051926,0.9686888454011742
1.83,507.0,12.400000000000002,3.450586264656618,0.9686888454011742
1.844,546.0,17.240000000000002,2.110552763819097,1.0567514677103718
1.856,537.0,16.14,2.177554438860973,1.1448140900195696
1.868,554.0,18.34,2.6465661641541054,1.1448140900195696
1.883,540.0,16.580000000000002,2.4455611390284773,1.1448140900195696
1.895,559.0,19.0,2.3785594639866012,1.1448140900195696
1.907,655.0,30.66,-0.10050251256281584,1.3209393346379648
1.921,656.0,30.88,-0.8375209380234523,1.4090019569471623
1.933,656.0,30.88,-1.1725293132328325,1.5851272015655578
1.947,663.0,31.76,-1.2730318257956448,1.4970645792563602
1.959,655.0,30.66,-1.541038525963149,1.4970645792563602
1.972,646.0,29.56,-1.3735343383584606,1.5851272015655578
1.985,654.0,30.66,-1.3735343383584606,1.6731898238747553
1.997,660.0,31.320000000000004,-1.541038525963149,1.6731898238747553
2.011,654.0,30.66,-1.474036850921273,1.6731898238747553
2.023,654.0,30.66,-1.5075376884422127,1.8493150684931507
2.036,655.0,30.66,-1.0720268006700167,1.9373776908023483
2.049,654.0,30.66,-1.1390284757118927,1.9373776908023483
2.061,652.0,30.44,-1.6415410385259648,2.1135029354207435
2.074,660.0,31.320000000000004,-1.474036850921273,2.1135029354207435
2.086,654.0,30.66,-1.6415410385259648,2.025440313111546
2.099,655.0,30.66,-1.2730318257956448,2.025440313111546
2.112,654.0,30.66,-1.3400335008375208,2.025440313111546
2.125,651.0,30.220000000000002,-1.4405360134003367,2.025440313111546
2.138,655.0,30.66,-1.0385259631490804,2.025440313111546
2.15,658.0,31.099999999999998,-1.2730318257956448,2.025440313111546
2.163,654.0,30.66,-1.1390284757118927,2.1135029354207435
2.176,652.0,30.44,-1.3065326633165846,2.2015655577299413
2.189,653.0,30.44,-1.3400335008375208,2.2015655577299413
2.202,653.0,30.44,-1.3735343383584606,2.2015655577299413
2.214,647.0,29.779999999999998,-1.4405360134003367,2.289628180039139
2.227,653.0,30.44,-1.3735343383584606,2.289628180039139
2.24,649.0,30.000000000000004,-1.3735343383584606,2.3776908023483365
2.253,651.0,30.220000000000002,-1.5075376884422127,2.3776908023483365
2.267,654.0,30.66,-1.3065326633165846,2.3776908023483365
2.279,657.0,30.88,-1.3065326633165846,2.3776908023483365
2.291,657.0,30.88,-1.2395309882747085,2.5538160469667317
2.305,659.0,31.320000000000004,-1.3065326633165846,2.6418786692759295
2.318,649.0,30.000000000000004,-1.3735343383584606,2.6418786692759295
2.33,652.0,30.44,-1.474036850921273,2.6418786692759295
2.342,653.0,30.44,-1.3400335008375208,2.6418786692759295
2.356,653.0,30.44,-1.4070351758793969,2.8180039138943247
2.368,649.0,30.000000000000004,-1.3065326633165846,2.9060665362035225
2.38,655.0,30.66,-1.4405360134003367,2.9060665362035225
2.394,655.0,30.66,-1.4070351758793969,2.9060665362035225
2.406,650.0,30.220000000000002,-1.608040201005025,2.9060665362035225
2.418,654.0,30.66,-1.541038525963149,3.0821917808219177
2.432,644.0,29.34,-1.4070351758793969,2.9941291585127203
2.445,655.0,30.66,-1.4405360134003367,2.9941291585127203
2.457,646.0,29.56,-1.3735343383584606,2.9941291585127203
2.469,654.0,30.66,-0.8710217755443885,3.0821917808219177
