trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,12.09,7.46,12.09,7.46,1,1,0,1,1,0
1,12.09,7.46,7.46,12.09,3,3,0,1,2,0
2,5.02,7.46,5.02,7.46,3,3,1,3,3,0
3,12.09,7.46,7.46,12.09,3,3,1,1,4,0
4,12.09,7.46,7.46,12.09,3,3,1,1,5,0
5,8.96,7.46,8.96,7.46,1,1,1,1,6,0
6,8.96,7.46,8.96,7.46,1,1,1,1,7,0
7,6.64,7.46,6.64,7.46,3,3,2,3,8,0
8,8.96,7.46,7.46,8.96,3,3,2,1,9,0
9,8.96,7.46,7.46,8.96,3,3,2,1,10,0
10,7.87,7.46,7.46,7.87,3,1,3,3,10,1
11,8.96,7.46,7.46,8.96,3,3,3,1,11,1
12,8.96,7.46,7.46,8.96,3,3,3,1,12,1
13,8.43,7.46,8.43,7.46,1,1,3,1,13,1
14,8.43,7.46,8.43,7.46,1,1,3,1,14,1
15,7.93,7.46,7.46,7.93,3,3,3,1,15,1
16,7.93,7.46,7.46,7.93,3,3,3,1,16,1
17,7.46,7.46,7.46,7.46,2,1,3,1,16,2
18,7.46,7.46,7.46,7.46,2,1,4,3,16,3
19,7.46,7.46,7.46,7.46,2,1,4,1,16,4
20,7.46,7.46,7.46,7.46,2,2,4,2,17,4
