15467,0.00,179.00,47,127,-1,104,184,-1
15570,0.00,179.00,47,31,-1,104,60,-1
15674,0.00,179.00,47,48,-1,104,64,-1
15778,0.00,179.00,47,117,-1,104,150,-1
15882,0.00,179.00,47,110,-1,104,148,-1
15986,0.00,179.00,47,38,-1,104,59,-1
16090,0.00,179.00,47,36,-1,104,52,-1
16194,0.00,179.00,47,108,-1,104,136,-1
16298,0.00,179.00,47,123,-1,104,163,-1
16402,0.00,179.00,47,50,-1,104,74,-1
16506,0.00,179.00,47,26,-1,104,41,-1
16610,0.00,179.00,47,92,-1,104,117,-1
16714,0.00,179.00,47,129,-1,104,169,-1
16818,0.00,179.00,47,187,-1,104,224,-1
16922,0.00,179.00,47,22,-1,104,33,-1
17026,0.00,179.00,47,77,-1,104,97,-1
17130,0.00,179.00,47,131,-1,104,170,-1
17234,0.00,179.00,47,82,-1,104,116,-1
17338,0.00,179.00,47,20,-1,104,37,-1
17442,0.00,179.00,47,57,-1,104,76,-1
17546,0.00,179.00,47,121,-1,104,160,-1
17650,0.00,179.00,47,99,-1,104,137,-1
17754,0.00,179.00,47,30,-1,104,48,-1
17858,0.00,179.00,47,41,-1,104,57,-1
17962,0.00,179.00,47,118,-1,104,152,-1
18066,0.00,179.00,47,115,-1,104,155,-1
18170,0.00,179.00,47,39,-1,104,64,-1
18274,0.00,179.00,47,74,-1,104,163,-1
18378,0.00,179.00,47,95,-1,104,114,-1
18482,0.00,179.00,47,118,-1,104,156,-1
18586,0.00,179.00,47,53,-1,104,83,-1
18690,0.00,179.00,47,26,-1,104,45,-1
18794,0.00,179.00,47,166,-1,104,174,-1
18898,0.00,178.00,48,94,-1,104,129,-1
19002,0.00,177.00,48,86,-1,103,82,-1
19106,0.00,176.00,49,0,-1,103,0,-1
19210,2.00,175.00,50,484,-1,102,583,-1
19314,3.00,174.00,50,823,-1,102,987,-1
19418,2.00,173.00,51,104,-1,102,98,-1
19522,0.00,172.00,52,0,-1,101,0,-1
19626,0.00,171.00,52,356,-1,101,514,-1
19730,0.00,171.00,52,853,-1,101,1023,-1
19834,0.00,170.00,53,250,-1,100,320,-1
19938,0.00,170.00,53,0,-1,100,0,-1
20042,0.00,170.00,53,221,-1,100,330,-1
20146,0.00,169.00,54,802,-1,100,994,-1
20250,0.00,168.00,54,426,-1,100,530,-1
20354,0.00,166.00,56,0,-1,99,0,-1
20458,0.00,162.00,58,85,-1,97,60,-1
20562,2.00,158.00,61,475,-1,96,234,-1
20666,6.00,153.00,64,269,-1,94,175,-1
20770,15.00,148.00,68,52,-1,91,88,-1
20874,23.00,143.00,71,0,-1,89,69,-1
20978,31.00,138.00,74,69,-1,87,110,-1
21082,39.00,133.00,77,140,-1,85,131,-1
21186,49.00,128.00,81,170,-1,83,211,-1
21290,60.00,124.00,83,22,-1,82,65,-1
21394,70.00,118.00,87,46,-1,79,98,-1
21498,79.00,112.00,91,83,-1,77,117,-1
21602,88.00,106.00,95,60,-1,74,88,-1
21706,97.00,100.00,99,0,-1,72,60,-1
21810,106.00,94.00,103,25,-1,69,87,-1
21914,115.00,88.00,107,99,-1,67,122,-1
22018,124.00,84.00,110,107,-1,65,108,-1
22122,133.00,80.00,112,0,-1,64,59,-1
22226,142.00,78.00,114,12,-1,63,75,-1
22330,150.00,76.00,115,184,-1,62,140,-1
22434,152.00,76.00,115,237,-1,62,151,-1
22538,152.00,76.00,115,0,-1,62,66,-1
22642,152.00,75.00,116,101,-1,62,192,-1
22746,152.00,75.00,116,210,-1,62,141,-1
22850,151.00,75.00,116,277,-1,62,165,-1
22954,151.00,75.00,116,21,-1,62,80,-1
23058,151.00,75.00,116,0,-1,62,65,-1
23162,151.00,75.00,116,243,-1,62,140,-1
23266,151.00,75.00,116,492,-1,62,213,-1
23370,151.00,75.00,116,0,-1,62,43,-1
23474,151.00,75.00,116,0,-1,62,0,-1
23578,151.00,75.00,116,417,-1,62,364,-1
23682,151.00,75.00,116,628,-1,62,641,-1
23786,151.00,75.00,116,40,-1,62,133,-1
23890,150.00,76.00,115,0,-1,62,0,-1
23994,149.00,76.00,115,311,-1,62,181,-1
24098,148.00,76.00,115,726,-1,62,690,-1
24202,148.00,77.00,114,207,-1,63,291,-1
24306,147.00,77.00,114,0,-1,63,0,-1
24410,146.00,77.00,114,204,-1,63,152,-1
24514,144.00,78.00,114,681,-1,63,668,-1
24618,143.00,78.00,114,358,-1,63,418,-1
24722,141.00,79.00,113,0,-1,63,0,-1
24826,139.00,79.00,113,101,-1,63,72,-1
24930,137.00,80.00,112,667,-1,64,652,-1
25034,133.00,81.00,112,519,-1,64,575,-1
25138,125.00,83.00,110,0,-1,65,0,-1
25242,117.00,87.00,108,10,-1,67,0,-1
25346,108.00,93.00,104,202,-1,69,575,-1
25450,99.00,99.00,100,367,-1,72,821,-1
25554,90.00,105.00,96,7,-1,74,0,-1
25658,82.00,110.00,93,0,-1,76,0,-1
25762,74.00,116.00,89,108,-1,78,433,-1
25866,66.00,121.00,85,363,-1,80,841,-1
25970,58.00,127.00,81,254,-1,83,216,-1
26074,50.00,133.00,77,0,-1,85,0,-1
26178,43.00,138.00,74,76,-1,87,295,-1
26282,35.00,144.00,70,460,-1,90,873,-1
26386,28.00,149.00,67,357,-1,92,414,-1
26490,21.00,155.00,63,26,-1,94,0,-1
26594,14.00,160.00,60,52,-1,96,154,-1
26698,9.00,165.00,56,456,-1,98,818,-1
26802,5.00,170.00,53,454,-1,100,559,-1
26906,4.00,174.00,50,0,-1,102,0,-1
