trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,1.78,5.78,5.78,1.78,1,1,0,1,1,0
1,2.82,5.78,5.78,2.82,1,1,0,1,2,0
2,4.47,5.78,4.47,5.78,3,3,0,1,3,0
3,7.08,5.78,7.08,5.78,1,1,1,3,4,0
4,4.47,5.78,5.78,4.47,1,2,1,2,4,1
5,8.91,5.78,5.78,8.91,3,3,2,3,5,1
6,4.47,5.78,4.47,5.78,3,3,2,1,6,1
7,5.02,5.78,5.78,5.02,1,1,2,1,7,1
8,5.63,5.78,5.78,5.63,1,2,2,2,7,2
9,5.63,5.78,5.78,5.63,1,2,2,2,7,3
10,6.32,5.78,5.78,6.32,3,3,3,3,8,3
11,5.63,5.78,5.78,5.63,1,1,3,1,9,3
12,5.96,5.78,5.96,5.78,1,2,3,2,9,4
13,5.96,5.78,5.96,5.78,1,2,3,2,9,5
14,6.31,5.78,6.31,5.78,1,2,3,2,9,6
15,6.31,5.78,6.31,5.78,1,2,3,2,9,7
16,6.68,5.78,6.68,5.78,1,1,4,3,10,7
17,6.31,5.78,6.31,5.78,1,2,4,2,10,8
