trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.64,5.78,5.78,0.64,1,1,0,1,1,0
1,1.01,5.78,1.01,5.78,3,3,0,1,2,0
2,1.6,5.78,5.78,1.6,1,1,0,1,3,0
3,2.54,5.78,2.54,5.78,3,3,0,1,4,0
4,4.03,5.78,4.03,5.78,3,3,0,1,5,0
5,6.39,5.78,5.78,6.39,3,2,0,2,5,1
6,6.39,5.78,6.39,5.78,1,1,1,3,6,1
7,4.03,5.78,5.78,4.03,1,1,1,1,7,1
8,5.07,5.78,5.07,5.78,3,3,1,1,8,1
9,6.38,5.78,5.78,6.38,3,3,2,3,9,1
10,5.07,5.78,5.07,5.78,3,3,2,1,10,1
11,5.69,5.78,5.78,5.69,1,1,2,1,11,1
12,6.38,5.78,6.38,5.78,1,1,3,3,12,1
13,5.69,5.78,5.69,5.78,3,3,3,1,13,1
14,6.03,5.78,6.03,5.78,1,2,3,2,13,2
15,6.03,5.78,6.03,5.78,1,1,4,3,14,2
16,5.69,5.78,5.78,5.69,1,3,5,3,14,3
17,6.38,5.78,6.38,5.78,1,1,6,3,15,3
18,5.69,5.78,5.69,5.78,3,3,6,1,16,3
