trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.68,5.78,5.78,0.68,1,1,0,1,1,0
1,1.08,5.78,5.78,1.08,1,1,0,1,2,0
2,1.71,5.78,5.78,1.71,1,1,0,1,3,0
3,2.71,5.78,2.71,5.78,3,3,0,1,4,0
4,4.3,5.78,4.3,5.78,3,3,0,1,5,0
5,6.82,5.78,6.82,5.78,1,2,0,2,5,1
6,6.82,5.78,6.82,5.78,1,1,1,3,6,1
7,4.3,5.78,5.78,4.3,1,2,1,2,6,2
8,8.59,5.78,8.59,5.78,1,1,2,3,7,2
9,4.3,5.78,5.78,4.3,1,2,2,2,7,3
10,9.64,5.78,5.78,9.64,3,3,3,3,8,3
11,4.3,5.78,5.78,4.3,1,2,3,2,8,4
12,10.21,5.78,5.78,10.21,3,3,4,3,9,4
13,4.3,5.78,5.78,4.3,1,1,4,1,10,4
14,4.43,5.78,4.43,5.78,3,2,4,2,10,5
15,4.43,5.78,5.78,4.43,1,2,4,2,10,6
16,4.56,5.78,5.78,4.56,1,2,4,2,10,7
17,4.56,5.78,4.56,5.78,3,3,4,1,11,7
18,4.69,5.78,5.78,4.69,1,1,4,1,12,7
19,4.83,5.78,5.78,4.83,1,2,4,2,12,8
20,4.83,5.78,4.83,5.78,3,2,4,2,12,9
21,4.97,5.78,4.97,5.78,3,2,4,2,12,10
22,4.97,5.78,5.78,4.97,1,2,4,2,12,11
