trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,0.72,5.78,5.78,0.72,1,1,0,1,1,0
1,1.14,5.78,5.78,1.14,1,1,0,1,2,0
2,1.81,5.78,1.81,5.78,3,3,0,1,3,0
3,2.87,5.78,2.87,5.78,3,3,0,1,4,0
4,4.55,5.78,5.78,4.55,1,2,0,2,4,1
5,4.55,5.78,4.55,5.78,3,3,0,1,5,1
6,7.21,5.78,5.78,7.21,3,3,1,3,6,1
7,4.55,5.78,4.55,5.78,3,3,1,1,7,1
8,5.73,5.78,5.78,5.73,1,2,1,2,7,2
9,5.73,5.78,5.78,5.73,1,2,1,2,7,3
10,7.21,5.78,7.21,5.78,1,2,1,2,7,4
11,7.21,5.78,5.78,7.21,3,3,2,3,8,4
12,5.73,5.78,5.78,5.73,1,3,3,3,8,5
13,5.73,5.78,5.73,5.78,3,2,3,2,8,6
14,6.07,5.78,6.07,5.78,1,2,3,2,8,7
15,6.07,5.78,6.07,5.78,1,2,3,2,8,8
16,6.43,5.78,6.43,5.78,1,2,3,2,8,9
17,6.43,5.78,5.78,6.43,3,2,3,2,8,10
18,6.81,5.78,5.78,6.81,3,2,3,2,8,11
19,6.81,5.78,6.81,5.78,1,2,3,2,8,12
20,7.21,5.78,5.78,7.21,3,3,4,3,9,12
21,6.81,5.78,5.78,6.81,3,3,5,3,10,12
22,6.43,5.78,6.43,5.78,1,2,5,2,10,13
23,6.91,5.78,5.78,6.91,3,3,6,3,11,13
