trialCount,Test,Reference,A,B,answerKey,userAnswer,reversals,graphIcon,nRight,nWrong
0,2.17,5.78,5.78,2.17,1,1,0,1,1,0
1,3.44,5.78,3.44,5.78,3,3,0,1,2,0
2,5.45,5.78,5.45,5.78,3,2,0,2,2,1
3,5.45,5.78,5.45,5.78,3,2,0,2,2,2
4,8.64,5.78,8.64,5.78,1,1,1,3,3,2
5,5.45,5.78,5.78,5.45,1,2,1,2,3,3
6,10.88,5.78,5.78,10.88,3,3,2,3,4,3
7,5.45,5.78,5.45,5.78,3,3,2,1,5,3
8,6.12,5.78,5.78,6.12,3,1,2,1,5,4
9,6.87,5.78,6.87,5.78,1,1,3,3,6,4
10,6.12,5.78,5.78,6.12,3,2,3,2,6,5
11,7.28,5.78,7.28,5.78,1,2,3,2,6,6
12,6.48,5.78,6.48,5.78,1,2,3,2,6,7
13,7.71,5.78,5.78,7.71,3,2,3,2,6,8
14,6.86,5.78,5.78,6.86,3,3,4,3,7,8
15,6.48,5.78,5.78,6.48,3,3,5,3,8,8
16,7.28,5.78,7.28,5.78,1,3,5,1,8,9
17,7.39,5.78,5.78,7.39,3,3,6,3,9,9
18,7.28,5.78,7.28,5.78,1,2,6,2,9,10
19,7.44,5.78,7.44,5.78,1,2,6,2,9,11
20,7.33,5.78,7.33,5.78,1,2,6,2,9,12
