time,flex sensor,"actuator position, command","actuator position, measured",force
68.063,180.0,7.096774193548387,4.089887640449438,-88.0
68.067,180.0,7.096774193548387,4.179775280898877,-88.0
68.071,175.0,7.096774193548387,4.089887640449438,-88.0
68.075,175.0,7.096774193548387,4.1123595505617985,-88.0
68.079,175.0,7.096774193548387,4.202247191011235,-88.0
68.084,173.0,7.096774193548387,4.1123595505617985,-88.0
68.087,173.0,7.096774193548387,4.067415730337078,-88.0
68.091,179.0,7.096774193548387,4.1123595505617985,-88.0
68.095,179.0,7.096774193548387,4.157303370786517,-88.0
68.1,179.0,7.096774193548387,4.1123595505617985,-88.0
68.104,180.0,7.096774193548387,4.202247191011235,-88.0
68.107,180.0,7.096774193548387,4.1123595505617985,-88.0
68.111,179.0,7.096774193548387,4.02247191011236,-88.0
68.116,180.0,7.096774193548387,4.1123595505617985,-88.0
68.12,180.0,7.096774193548387,4.134831460674157,-88.0
68.124,188.0,7.096774193548387,4.1123595505617985,-88.0
68.127,188.0,7.096774193548387,4.269662921348315,-88.0
68.132,180.0,7.096774193548387,4.1123595505617985,-88.0
68.136,180.0,7.096774193548387,4.179775280898877,-88.0
68.14,180.0,7.096774193548387,4.134831460674157,-88.0
68.144,175.0,7.096774193548387,4.134831460674157,-88.0
68.148,175.0,7.096774193548387,4.067415730337078,-88.0
68.152,180.0,7.096774193548387,4.044943820224718,-88.0
68.156,180.0,7.096774193548387,4.2921348314606735,-88.0
68.16,180.0,7.096774193548387,4.1123595505617985,-88.0
68.164,175.0,7.096774193548387,4.067415730337078,-88.0
68.168,175.0,7.096774193548387,4.067415730337078,-88.0
68.172,181.0,7.096774193548387,4.134831460674157,-88.0
68.176,180.0,7.096774193548387,4.179775280898877,-88.0
68.18,180.0,7.096774193548387,4.157303370786517,-88.0
68.184,179.0,7.096774193548387,4.134831460674157,-88.0
68.188,179.0,7.096774193548387,4.202247191011235,-88.0
68.192,179.0,7.096774193548387,4.02247191011236,-88.0
68.197,178.0,7.096774193548387,4.157303370786517,-88.0
68.2,178.0,7.096774193548387,4.067415730337078,-88.0
68.204,178.0,7.096774193548387,4.0,-88.0
68.208,178.0,7.096774193548387,4.157303370786517,-88.0
68.213,180.0,7.096774193548387,4.157303370786517,-88.0
68.217,180.0,7.096774193548387,4.134831460674157,-88.0
68.22,180.0,7.096774193548387,4.02247191011236,-88.0
68.224,173.0,7.096774193548387,4.067415730337078,-88.0
68.229,173.0,7.096774193548387,4.1123595505617985,-88.0
68.233,176.0,7.096774193548387,4.1123595505617985,-88.0
68.237,177.0,7.096774193548387,4.157303370786517,-88.0
68.24,177.0,7.096774193548387,4.157303370786517,-88.0
68.245,189.0,7.096774193548387,4.157303370786517,-88.0
68.249,188.0,7.096774193548387,4.134831460674157,-88.0
68.253,180.0,7.096774193548387,4.067415730337078,-88.0
68.257,178.0,7.096774193548387,4.1123595505617985,-88.0
68.261,178.0,7.096774193548387,4.202247191011235,-88.0
68.265,176.0,7.096774193548387,4.157303370786517,-88.0
68.269,176.0,7.096774193548387,4.067415730337078,-88.0
68.273,180.0,7.096774193548387,4.1123595505617985,-88.0
68.277,182.0,7.096774193548387,4.1123595505617985,-88.0
68.281,182.0,7.096774193548387,4.089887640449438,-88.0
68.285,172.0,7.096774193548387,4.067415730337078,-88.0
68.289,172.0,7.096774193548387,4.1123595505617985,-88.0
