time,setpoint,set-err,filteredRawForce,commandedActuatorPos,measuredActuatorPos,TrialCounter
25202,0.00,0.00,0.00,0,5
25231,0.00,0.00,0.00,0,5,0
25261,0.00,0.00,0.00,0,5
25291,0.00,0.00,0.00,0,5
25321,0.00,0.00,0.00,0,5
25350,0.00,0.00,0.00,0,5
25380,0.00,0.00,0.00,0,5
25410,0.00,0.00,0.00,0,5
25440,0.00,0.00,0.00,0,5
25469,0.00,0.00,0.00,0,5
25499,0.00,0.00,0.00,0,5
25529,0.00,0.00,0.00,0,5
25558,0.00,0.00,0.00,0,3
25588,0.00,0.00,0.00,0,5
25618,0.00,0.00,0.00,0,5,0
25648,0.00,0.00,0.00,0,5
25677,0.00,0.00,0.00,0,5,0
25707,0.00,0.00,0.00,0,5
25737,0.00,0.00,0.00,0,5,0
25767,0.00,0.00,0.00,0,5
25796,0.00,0.00,0.00,0,5,0
25826,0.00,0.00,0.00,0,5
25856,0.00,0.00,0.00,0,5
25885,0.00,0.00,0.00,0,5
25915,0.00,0.00,0.00,0,5
25945,0.00,0.00,0.00,0,5
25975,0.00,0.00,0.00,0,5
26004,0.00,0.00,0.00,0,5
26034,0.00,0.00,0.00,0,5
26064,0.00,0.00,0.00,0,5
26093,0.00,0.00,0.00,0,5
26123,0.00,0.00,0.00,0,5
26153,0.00,0.00,0.00,0,5
26183,0.00,0.00,0.00,0,5
26212,0.00,0.00,0.00,0,5
26242,0.00,0.00,0.00,0,5,0
26272,0.00,0.00,0.00,0,5
26302,0.00,0.00,0.00,0,3,0
26331,0.00,0.00,0.00,0,5
26361,0.00,0.00,0.00,0,5,0
26391,0.00,0.00,0.00,0,5
26420,0.00,0.00,0.00,0,5
26450,0.00,0.00,0.00,0,5
26480,0.00,0.00,0.00,0,5
26510,0.00,0.00,0.00,0,5
26539,0.00,0.00,0.00,0,5
26569,0.00,0.00,0.00,0,3
26599,0.00,0.00,0.00,0,5
26629,0.00,0.00,0.00,0,5
26658,0.00,0.00,0.00,0,5
26688,0.00,0.00,0.00,0,5
26718,0.00,0.00,0.00,0,5
26747,0.00,0.00,0.00,0,5
26777,0.00,0.00,0.00,0,5
26807,0.00,0.00,0.00,0,5
26837,0.00,0.00,0.00,0,5
26866,0.00,0.00,0.00,0,5,0
26896,0.00,0.00,0.00,0,5
26926,0.00,0.00,0.00,0,5,0
26955,0.00,0.00,0.00,0,5
26985,0.00,0.00,0.00,0,5,0
27015,0.00,0.00,0.00,0,5
27045,0.00,0.00,0.00,0,5
27074,0.00,0.00,0.00,0,5
27104,0.00,0.00,0.00,0,5
27134,0.00,0.00,0.00,0,5
27163,0.00,0.00,0.00,0,5
27193,0.00,0.00,0.00,0,5
