time,flex sensor,"actuator position, command","actuator position, measured",force,'Trial Number','Target Angle'
48.897,180.0,4.0,4.021192052980133,0.0,0,0
49.35,180.0,4.0,4.042384105960265,0.0,0,0
49.802,180.0,4.0,4.021192052980133,0.0,0,0
50.256,180.0,4.0,4.021192052980133,0.0,0,0
50.708,180.0,4.0,4.233112582781457,0.0,0,0
51.161,180.0,4.0,4.0847682119205295,0.0,0,0
51.613,180.0,4.0,4.042384105960265,0.0,0,0
52.066,180.0,4.0,4.021192052980133,0.0,0,0
52.518,180.0,4.0,3.9576158940397335,0.0,0,0
52.971,180.0,4.0,4.042384105960265,0.0,0,0
53.423,177.0,4.213333333333333,4.127152317880794,0.0,0,0
53.876,174.0,4.64,4.296688741721855,0.0,0,0
54.33,170.0,4.8533333333333335,4.445033112582781,0.0,0,0
54.782,163.0,5.493333333333333,5.377483443708609,0.0,0,0
55.235,154.0,6.346666666666667,6.034437086092716,0.0,0,0
55.687,150.0,6.773333333333333,6.479470198675497,0.0,0,0
56.14,145.0,7.2,7.03046357615894,0.0,0,0
56.592,141.0,7.626666666666667,7.687417218543047,0.0,0,0
57.045,137.0,8.053333333333335,7.602649006622517,0.0,0,0
57.497,132.0,8.48,8.259602649006622,0.0,0,0
57.95,126.0,9.120000000000001,8.386754966887418,0.0,0,0
58.404,119.0,9.76,9.001324503311258,0.0,0,0
58.856,117.0,9.76,9.70066225165563,0.0,0,0
59.309,113.0,10.186666666666667,10.039735099337749,0.0,0,0
59.761,106.0,10.826666666666668,10.696688741721854,0.0,0,0
60.214,102.0,11.253333333333334,11.480794701986754,0.0,0,0
60.666,97.0,11.68,11.290066225165562,0.0,0,0
61.119,95.0,11.893333333333334,11.819867549668874,0.0,0,0
61.571,91.0,12.32,11.735099337748345,0.0,0,0
62.024,86.0,12.746666666666666,12.328476821192053,0.0,0,0
62.477,82.0,13.173333333333334,12.773509933774834,0.0,0,0
62.93,77.0,13.6,13.282119205298013,0.0,0,0
63.382,73.0,14.026666666666667,13.557615894039735,0.0,0,0
63.835,69.0,14.24,14.193377483443708,0.0,0,0
64.288,64.0,14.88,14.426490066225165,0.0,0,0
64.741,60.0,15.093333333333334,14.998675496688742,0.0,0,0
65.193,53.0,15.733333333333333,15.59205298013245,0.0,0,0
65.646,51.0,15.946666666666667,15.973509933774835,0.0,0,0
66.098,44.0,16.586666666666666,16.333774834437087,0.0,0,0
66.551,40.0,17.013333333333335,17.096688741721856,0.0,0,0
67.003,40.0,17.013333333333335,17.075496688741723,0.0,0,0
67.456,40.0,17.013333333333335,17.13907284768212,0.0,0,0
67.908,40.0,17.013333333333335,17.05430463576159,0.0,0,0
68.362,40.0,17.013333333333335,17.117880794701986,0.0,0,0
