time,force
2800.747,0.44
2800.848,0.09
2800.95,0.18
2801.052,0.09
2801.154,0.18
2801.256,0.18
2801.358,0.09
2801.46,0.18
2801.561,0.09
2801.664,0.62
2801.766,1.85
2801.867,3.34
2801.97,4.48
2802.071,7.73
2802.173,9.58
2802.276,10.99
2802.377,12.22
2802.479,13.18
2802.582,12.83
2802.684,8.09
2802.785,3.34
2802.888,1.49
2802.989,2.02
2803.091,2.2
2803.194,3.96
2803.295,7.38
2803.397,10.11
2803.5,11.16
2803.601,12.22
2803.703,13.71
2803.806,12.3
2803.907,10.28
2804.009,5.27
2804.112,3.87
2804.213,1.93
2804.315,1.85
2804.418,1.76
2804.519,2.46
2804.621,4.57
2804.723,7.47
2804.825,11.07
2804.927,12.04
2805.029,13.62
2805.131,13.36
2805.233,12.57
2805.335,8.44
2805.437,3.78
2805.539,2.29
2805.641,1.49
2805.743,1.67
2805.845,1.41
2805.947,2.99
2806.049,4.39
2806.15,6.94
2806.253,9.14
2806.355,11.25
2806.456,12.04
2806.559,12.66
2806.661,13.27
2806.762,9.49
2806.865,6.15
2806.967,2.64
2807.068,2.02
2807.171,0.88
2807.273,1.23
2807.374,1.32
2807.477,3.34
2807.578,6.24
2807.68,8.26
2807.783,10.28
2807.884,10.99
2807.986,11.87
2808.089,10.9
2808.191,6.33
2808.292,1.32
2808.395,1.14
2808.496,0.79
2808.598,0.62
2808.701,0.79
2808.802,0.53
2808.904,0.7
2809.006,0.44
2809.108,0.7
2809.21,0.44
2809.312,0.7
2809.414,0.44
2809.516,0.53
2809.618,0.7
2809.72,0.44
2809.821,0.7
2809.924,0.35
2810.026,0.7
2810.127,0.26
2810.23,0.7
2810.331,0.26
2810.433,0.35
2810.535,0.26
2810.637,0.26
2810.739,0.44
