time,flex sensor,"actuator position, command","actuator position, measured",force
0.055,0.0,-5.199999999999999,-0.8375209380234523,-22.544031311154598
0.066,11.0,-3.879999999999999,-0.10050251256281584,-22.544031311154598
0.077,38.0,-0.5800000000000001,-0.30150753768844396,-22.544031311154598
0.089,62.0,2.0600000000000005,-0.13400335008375208,-22.544031311154598
0.101,67.0,2.7200000000000006,-0.0335008375209398,-22.544031311154598
0.112,66.0,2.5,-0.10050251256281584,-22.544031311154598
0.123,66.0,2.5,-0.20100502512562812,-22.544031311154598
0.135,67.0,2.7200000000000006,-0.13400335008375208,-22.544031311154598
0.146,68.0,2.7200000000000006,-0.10050251256281584,-22.544031311154598
0.157,69.0,2.9400000000000013,-0.13400335008375208,-22.544031311154598
0.169,70.0,2.9400000000000013,-0.13400335008375208,-22.544031311154598
0.181,71.0,3.16,-0.20100502512562812,-22.544031311154598
0.192,73.0,3.380000000000001,-0.13400335008375208,-22.544031311154598
0.203,73.0,3.380000000000001,-0.13400335008375208,-22.544031311154598
0.215,73.0,3.380000000000001,-0.30150753768844396,-22.544031311154598
0.226,74.0,3.6000000000000014,-0.16750418760469188,-22.544031311154598
0.238,74.0,3.6000000000000014,0.13400335008375208,-22.544031311154598
0.249,74.0,3.6000000000000014,0.0,-22.544031311154598
0.261,75.0,3.6000000000000014,-0.10050251256281584,-22.544031311154598
0.272,75.0,3.6000000000000014,-0.20100502512562812,-22.544031311154598
0.283,75.0,3.6000000000000014,0.36850921273032,-22.544031311154598
0.294,74.0,3.6000000000000014,0.5025125628140721,-22.544031311154598
0.307,73.0,3.380000000000001,1.1725293132328325,-22.544031311154598
0.318,73.0,3.380000000000001,0.8710217755443885,-22.544031311154598
0.329,73.0,3.380000000000001,0.9045226130653283,-22.544031311154598
0.34,74.0,3.6000000000000014,1.0050251256281406,-22.544031311154598
0.352,75.0,3.6000000000000014,1.2395309882747085,-22.544031311154598
0.363,76.0,3.8200000000000003,1.2730318257956448,-22.544031311154598
0.374,77.0,3.8200000000000003,1.909547738693469,-22.544031311154598
0.387,78.0,4.040000000000001,1.3065326633165846,-22.544031311154598
0.398,80.0,4.260000000000002,1.5075376884422127,-22.544031311154598
0.409,82.0,4.48,1.909547738693469,-22.544031311154598
0.42,85.0,4.92,2.1440536013400333,-22.544031311154598
0.432,89.0,5.359999999999999,2.2110552763819094,-22.544031311154598
0.443,93.0,5.800000000000001,2.7135678391959814,-22.544031311154598
0.455,97.0,6.240000000000002,2.6130653266331656,-22.544031311154598
0.466,101.0,6.68,2.3785594639866012,-22.544031311154598
0.478,104.0,7.120000000000001,2.6465661641541054,-22.544031311154598
0.489,106.0,7.34,2.6800670016750416,-22.544031311154598
0.5,110.0,7.780000000000001,2.7805695142378575,-22.544031311154598
0.513,114.0,8.220000000000002,2.8475711892797335,-22.544031311154598
0.524,118.0,8.880000000000003,3.0485762144053616,-22.544031311154598
0.535,123.0,9.32,3.1155778894472377,-22.544031311154598
0.546,129.0,10.2,3.283082077051926,-22.544031311154598
0.558,136.0,10.86,3.383584589614742,-22.544031311154598
0.57,144.0,11.96,3.450586264656618,-22.544031311154598
0.581,150.0,12.620000000000001,3.55108877721943,-22.544031311154598
0.592,156.0,13.280000000000001,3.8860971524288104,-22.544031311154598
0.604,160.0,13.940000000000001,3.852596314907874,-22.544031311154598
0.616,161.0,13.940000000000001,4.254606365159129,-22.544031311154598
0.627,161.0,13.940000000000001,3.91959798994975,-22.544031311154598
0.638,161.0,13.940000000000001,4.187604690117253,-22.544031311154598
0.65,161.0,13.940000000000001,4.522613065326633,-22.544031311154598
0.662,161.0,13.940000000000001,4.522613065326633,-22.544031311154598
0.673,160.0,13.940000000000001,4.656616415410385,-22.544031311154598
0.685,160.0,13.940000000000001,4.824120603015075,-22.544031311154598
0.696,161.0,13.940000000000001,4.857621440536013,-22.544031311154598
0.708,161.0,13.940000000000001,5.192629815745393,-22.544031311154598
0.719,161.0,13.940000000000001,5.326633165829145,-22.544031311154598
0.731,161.0,13.940000000000001,5.393634840871021,-22.544031311154598
0.743,162.0,14.16,5.6616415410385255,-22.544031311154598
0.754,162.0,14.16,6.231155778894472,-22.544031311154598
0.765,163.0,14.16,5.896147403685092,-22.544031311154598
0.777,163.0,14.16,6.063651591289782,-22.544031311154598
0.789,164.0,14.380000000000003,6.231155778894472,-22.544031311154598
0.8,164.0,14.380000000000003,6.4321608040201,-22.544031311154598
0.812,165.0,14.380000000000003,5.996649916247906,-22.544031311154598
0.823,166.0,14.600000000000001,6.666666666666666,-22.544031311154598
0.835,166.0,14.600000000000001,6.700167504187604,-22.544031311154598
0.846,167.0,14.600000000000001,7.001675041876046,-22.544031311154598
0.858,167.0,14.600000000000001,7.10217755443886,-22.544031311154598
0.869,168.0,14.82,7.202680067001674,-22.544031311154598
0.881,169.0,14.82,7.4371859296482405,-22.544031311154598
0.892,169.0,14.82,7.470686767169179,-22.544031311154598
0.904,170.0,15.04,7.3701842546063645,-22.544031311154598
0.915,170.0,15.04,8.408710217755443,-22.544031311154598
0.927,171.0,15.260000000000002,7.906197654941373,-22.544031311154598
0.939,172.0,15.260000000000002,8.073701842546063,-22.544031311154598
0.95,172.0,15.260000000000002,8.308207705192629,-22.544031311154598
0.961,173.0,15.48,8.442211055276381,-22.544031311154598
0.973,174.0,15.48,8.542713567839195,-22.544031311154598
0.985,174.0,15.48,9.14572864321608,-22.544031311154598
0.996,175.0,15.7,8.8107202680067,-22.544031311154598
1.007,175.0,15.7,8.944723618090451,-22.544031311154598
1.019,175.0,15.7,9.078726968174204,-22.544031311154598
1.031,175.0,15.7,9.31323283082077,-22.544031311154598
1.042,175.0,15.7,9.112227805695142,-22.544031311154598
1.054,176.0,15.7,9.98324958123953,-22.544031311154598
1.065,176.0,15.7,9.581239530988274,-22.544031311154598
1.077,176.0,15.7,10.35175879396985,-22.544031311154598
1.089,176.0,15.7,9.916247906197654,-22.544031311154598
1.1,176.0,15.7,9.346733668341708,-22.544031311154598
1.112,176.0,15.7,10.117252931323284,-22.544031311154598
1.123,177.0,15.920000000000002,9.949748743718592,-22.544031311154598
1.135,177.0,15.920000000000002,10.452261306532664,-22.544031311154598
1.146,177.0,15.920000000000002,10.820770519262982,-22.544031311154598
1.158,177.0,15.920000000000002,10.552763819095478,-22.544031311154598
1.17,176.0,15.7,10.586264656616416,-22.544031311154598
1.181,176.0,15.7,11.088777219430487,-22.544031311154598
1.192,176.0,15.7,10.887772194304858,-22.544031311154598
1.205,176.0,15.7,11.02177554438861,-22.544031311154598
1.216,175.0,15.7,11.155778894472363,-22.544031311154598
1.227,175.0,15.7,11.289782244556115,-22.544031311154598
1.239,174.0,15.48,11.490787269681743,-22.544031311154598
1.251,174.0,15.48,11.256281407035177,-22.544031311154598
1.262,174.0,15.48,12.093802345058627,-22.544031311154598
1.273,173.0,15.48,11.457286432160805,-22.544031311154598
1.286,173.0,15.48,11.959798994974875,-22.544031311154598
1.297,172.0,15.260000000000002,11.457286432160805,-22.544031311154598
1.308,171.0,15.260000000000002,12.127303182579563,-22.544031311154598
1.32,170.0,15.04,12.328308207705192,-22.544031311154598
1.332,169.0,14.82,12.830820770519264,-22.544031311154598
1.343,168.0,14.82,12.52931323283082,-22.544031311154598
1.354,167.0,14.600000000000001,12.495812395309883,-22.544031311154598
1.367,165.0,14.380000000000003,12.797319932998324,-22.544031311154598
1.378,164.0,14.380000000000003,12.730318257956448,-22.544031311154598
1.389,163.0,14.16,13.165829145728644,-22.544031311154598
1.401,163.0,14.16,13.098827470686768,-22.544031311154598
1.413,163.0,14.16,13.366834170854272,-22.544031311154598
1.424,162.0,14.16,12.462311557788944,-22.544031311154598
1.436,161.0,13.940000000000001,13.936348408710217,-22.544031311154598
1.447,160.0,13.940000000000001,13.266331658291456,-22.544031311154598
1.459,158.0,13.5,13.433835845896148,-22.544031311154598
1.47,157.0,13.5,13.53433835845896,-22.544031311154598
1.482,156.0,13.280000000000001,13.400335008375208,-22.544031311154598
1.494,154.0,13.060000000000002,13.299832495812396,-22.544031311154598
1.505,153.0,13.060000000000002,13.366834170854272,-22.544031311154598
1.517,150.0,12.620000000000001,13.433835845896148,-22.544031311154598
1.528,147.0,12.18,13.5678391959799,-22.544031311154598
1.54,145.0,11.96,13.701842546063652,-22.544031311154598
1.551,143.0,11.740000000000002,13.5678391959799,-22.544031311154598
1.563,142.0,11.740000000000002,13.601340033500836,-22.544031311154598
1.574,139.0,11.3,13.5678391959799,-22.544031311154598
1.586,135.0,10.86,13.53433835845896,-22.544031311154598
1.598,128.0,9.98,13.5678391959799,-22.544031311154598
1.609,120.0,9.100000000000001,13.400335008375208,-22.544031311154598
1.62,114.0,8.220000000000002,13.433835845896148,-22.544031311154598
1.632,109.0,7.780000000000001,13.90284757118928,-22.544031311154598
1.644,106.0,7.34,12.8643216080402,-22.544031311154598
1.655,104.0,7.120000000000001,13.333333333333332,-22.544031311154598
1.667,104.0,7.120000000000001,14.20435510887772,-22.544031311154598
1.678,104.0,7.120000000000001,13.5678391959799,-22.544031311154598
1.69,103.0,6.900000000000002,13.500837520938024,-22.544031311154598
1.701,102.0,6.900000000000002,13.601340033500836,-22.544031311154598
1.713,100.0,6.68,13.634840871021776,-22.544031311154598
1.725,99.0,6.460000000000001,13.5678391959799,-22.544031311154598
1.736,99.0,6.460000000000001,13.5678391959799,-22.544031311154598
1.747,99.0,6.460000000000001,14.20435510887772,-22.544031311154598
1.759,99.0,6.460000000000001,13.634840871021776,-22.544031311154598
1.77,98.0,6.460000000000001,13.5678391959799,-22.544031311154598
1.782,96.0,6.240000000000002,13.065326633165828,-22.544031311154598
1.794,96.0,6.240000000000002,13.601340033500836,-22.544031311154598
1.805,96.0,6.240000000000002,13.936348408710217,-22.544031311154598
1.816,97.0,6.240000000000002,13.400335008375208,-22.544031311154598
1.827,99.0,6.460000000000001,13.366834170854272,-22.544031311154598
1.84,100.0,6.68,13.266331658291456,-22.544031311154598
1.851,98.0,6.460000000000001,13.668341708542712,-22.544031311154598
1.862,94.0,6.02,13.165829145728644,-22.544031311154598
1.873,87.0,5.140000000000001,12.797319932998324,-22.544031311154598
1.885,82.0,4.48,12.998324958123952,-22.544031311154598
1.897,82.0,4.48,12.964824120603016,-22.544031311154598
1.908,86.0,4.92,12.52931323283082,-22.544031311154598
1.92,91.0,5.580000000000002,12.596314907872696,-22.544031311154598
1.931,90.0,5.359999999999999,12.52931323283082,-22.544031311154598
1.942,83.0,4.700000000000001,12.495812395309883,-22.544031311154598
1.954,74.0,3.6000000000000014,12.395309882747068,-22.544031311154598
1.966,70.0,2.9400000000000013,12.22780569514238,-22.544031311154598
1.977,70.0,2.9400000000000013,12.160804020100503,-22.544031311154598
1.988,72.0,3.380000000000001,11.993299832495813,-22.544031311154598
1.999,73.0,3.380000000000001,11.892797319932999,-22.544031311154598
2.012,70.0,2.9400000000000013,11.792294807370185,-22.544031311154598
2.023,64.0,2.280000000000001,12.026800670016751,-22.544031311154598
2.034,60.0,1.8400000000000016,11.390284757118929,-22.544031311154598
2.045,60.0,1.8400000000000016,11.289782244556115,-22.544031311154598
2.058,60.0,1.8400000000000016,11.289782244556115,-22.544031311154598
2.069,60.0,1.8400000000000016,11.289782244556115,-22.544031311154598
2.08,57.0,1.4000000000000004,11.02177554438861,-22.544031311154598
2.092,54.0,1.1800000000000015,10.820770519262982,-22.544031311154598
2.103,52.0,0.9600000000000009,10.753768844221106,-22.544031311154598
2.115,52.0,0.9600000000000009,10.552763819095478,-22.544031311154598
2.126,52.0,0.9600000000000009,10.18425460636516,-22.544031311154598
2.138,50.0,0.7400000000000002,10.552763819095478,-22.544031311154598
2.149,47.0,0.3000000000000007,10.18425460636516,-22.544031311154598
2.16,44.0,-0.1399999999999988,10.050251256281408,-22.544031311154598
2.172,42.0,-0.35999999999999943,9.98324958123953,-22.544031311154598
2.184,40.0,-0.5800000000000001,9.81574539363484,-22.544031311154598
2.195,37.0,-0.7999999999999989,9.715242881072026,-22.544031311154598
2.206,36.0,-0.7999999999999989,9.614740368509212,-22.544031311154598
2.217,37.0,-0.7999999999999989,9.380234505862646,-22.544031311154598
2.23,39.0,-0.5800000000000001,9.212730318257956,-22.544031311154598
2.241,40.0,-0.5800000000000001,9.447236180904522,-22.544031311154598
2.252,41.0,-0.35999999999999943,8.408710217755443,-22.544031311154598
2.264,41.0,-0.35999999999999943,8.408710217755443,-22.544031311154598
2.275,41.0,-0.35999999999999943,8.97822445561139,-22.544031311154598
2.287,40.0,-0.5800000000000001,8.375209380234505,-22.544031311154598
2.298,39.0,-0.5800000000000001,8.241206030150753,-22.544031311154598
2.31,39.0,-0.5800000000000001,8.241206030150753,-22.544031311154598
2.321,39.0,-0.5800000000000001,8.073701842546063,-22.544031311154598
2.332,39.0,-0.5800000000000001,7.571189279731993,-22.544031311154598
2.344,40.0,-0.5800000000000001,7.705192629815745,-22.544031311154598
2.356,42.0,-0.35999999999999943,7.671691792294807,-22.544031311154598
2.367,43.0,-0.1399999999999988,7.470686767169179,-22.544031311154598
2.378,43.0,-0.1399999999999988,7.3031825795644885,-22.544031311154598
2.39,44.0,-0.1399999999999988,7.10217755443886,-22.544031311154598
2.402,45.0,0.08000000000000007,7.537688442211055,-22.544031311154598
2.413,45.0,0.08000000000000007,6.867671691792294,-22.544031311154598
2.424,46.0,0.08000000000000007,6.09715242881072,-22.544031311154598
2.436,46.0,0.08000000000000007,6.59966499162479,-22.544031311154598
2.448,46.0,0.08000000000000007,6.030150753768844,-22.544031311154598
2.459,46.0,0.08000000000000007,5.829145728643216,-22.544031311154598
2.47,46.0,0.08000000000000007,5.92964824120603,-22.544031311154598
2.482,47.0,0.3000000000000007,5.829145728643216,-22.544031311154598
2.493,47.0,0.3000000000000007,5.628140703517587,-22.544031311154598
2.505,47.0,0.3000000000000007,5.494137353433835,-22.544031311154598
2.516,47.0,0.3000000000000007,5.293132328308207,-22.544031311154598
2.528,47.0,0.3000000000000007,5.058626465661641,-22.544031311154598
