t1,t2,command,measured,zero
57011705,57011706,53,251,0
57017847,57017847,53,251,0
57023984,57023985,53,251,0
57030791,57030792,53,253,0
57036934,57036935,53,253,0
57043079,57043080,53,254,0
57049452,57049452,53,254,0
57055590,57055590,53,254,0
57061731,57061732,53,255,0
57067874,57067874,53,255,0
57074014,57074015,53,255,0
57081172,57081173,53,255,0
57087317,57087318,53,255,0
57093461,57093461,53,255,0
57099600,57099600,53,255,0
57105740,57105741,53,255,0
57112549,57112549,53,255,0
57118687,57118687,53,255,0
57124828,57124828,53,253,0
57131193,57131193,53,253,0
57137337,57137338,53,253,0
57143477,57143478,53,254,0
57149618,57149619,53,254,0
57155758,57155758,53,255,0
57162985,57162985,53,255,0
57169126,57169127,53,255,0
57175269,57175270,53,255,0
57181409,57181410,53,255,0
57187549,57187549,53,255,0
57194493,57194493,53,253,0
57200628,57200629,53,253,0
57206770,57206771,53,254,0
57213180,57213181,53,254,0
57219319,57219320,53,254,0
57225460,57225461,53,253,0
57231600,57231600,53,253,0
57237742,57237743,53,254,0
57245046,57245047,53,254,0
57251190,57251191,53,254,0
57257331,57257332,53,255,0
57263472,57263473,53,255,0
57269617,57269618,53,255,0
57276464,57276464,53,255,0
57282603,57282603,53,255,0
57288747,57288748,53,255,0
57295142,57295142,53,255,0
57301324,57301324,53,255,0
57307471,57307471,53,255,0
57313610,57313611,53,255,0
57319752,57319752,53,255,0
57326911,57326911,53,255,0
57333055,57333056,53,255,0
57339197,57339198,53,253,0
57345336,57345336,53,253,0
57351477,57351478,53,253,0
57358350,57358351,53,252,0
57364491,57364491,53,252,0
57370634,57370635,53,254,0
57377033,57377033,53,254,0
57383171,57383172,53,254,0
57389311,57389312,53,253,0
57395455,57395456,53,253,0
57401595,57401595,53,252,0
57408762,57408763,53,252,0
57414903,57414904,53,252,0
57421045,57421045,53,254,0
57427184,57427185,53,254,0
57433326,57433326,53,254,0
57440280,57440281,53,253,0
57446423,57446424,53,253,0
57452563,57452564,53,252,0
57458961,57458962,53,252,0
57465104,57465104,53,252,0
57471251,57471252,53,254,0
57477395,57477396,53,254,0
57483537,57483537,53,255,0
57490837,57490838,53,255,0
57496980,57496981,53,255,0
57503122,57503123,53,253,0
57509263,57509264,53,253,0
57515406,57515407,53,253,0
57522240,57522241,53,252,0
57528382,57528383,53,252,0
57534524,57534525,53,252,0
57540931,57540931,53,252,0
57547072,57547073,53,252,0
57553213,57553214,53,252,0
57559355,57559355,53,252,0
57565496,57565496,53,254,0
57572650,57572651,53,254,0
57578789,57578790,53,254,0
57584928,57584928,53,255,0
57591073,57591074,53,255,0
57597213,57597214,53,255,0
57604147,57604147,53,253,0
57610291,57610292,53,253,0
57616432,57616432,53,254,0
57622821,57622822,53,254,0
57628965,57628965,53,254,0
57635108,57635109,53,255,0
57641250,57641250,53,255,0
57647391,57647392,53,256,0
57654656,57654656,53,256,0
57660796,57660796,53,256,0
57666939,57666939,53,256,0
57673082,57673083,53,256,0
57679224,57679224,53,256,0
57686162,57686163,53,256,0
57692305,57692306,53,256,0
57698445,57698446,53,254,0
57704846,57704847,53,254,0
57710989,57710989,53,254,0
57717128,57717129,53,253,0
57723268,57723268,53,253,0
57729413,57729414,53,254,0
57736725,57736726,53,254,0
57742866,57742867,53,254,0
57749008,57749009,53,255,0
57755149,57755149,53,255,0
57761289,57761290,53,255,0
57768164,57768164,53,255,0
57774300,57774300,53,255,0
57780440,57780441,53,255,0
57786835,57786836,53,255,0
57792976,57792977,53,255,0
57799116,57799116,53,255,0
57805256,57805256,53,255,0
57811400,57811401,53,255,0
57818601,57818602,53,255,0
57824742,57824743,53,255,0
57830887,57830887,53,253,0
57837027,57837028,53,253,0
57843164,57843165,53,253,0
57850090,57850090,53,254,0
57856231,57856232,53,254,0
57862372,57862373,53,255,0
57868663,57868664,53,255,0
57874805,57874805,53,255,0
57880946,57880947,53,253,0
57887091,57887091,53,253,0
57893232,57893233,53,252,0
57900564,57900565,53,252,0
57906705,57906705,53,252,0
57912849,57912849,53,254,0
57918994,57918994,53,254,0
57925138,57925138,53,254,0
57932074,57932074,53,255,0
57938221,57938221,53,255,0
57944366,57944366,53,255,0
57950669,57950670,53,255,0
57956812,57956813,53,255,0
57962953,57962954,53,253,0
57969094,57969095,53,253,0
57975237,57975238,53,252,0
57982552,57982552,53,252,0
57988693,57988693,53,252,0
57994832,57994832,53,254,0
58000974,58000974,53,254,0
58007116,58007116,53,254,0
58014069,58014069,53,255,0
58020213,58020214,53,255,0
58026357,58026357,53,255,0
58032760,58032760,53,255,0
58038899,58038899,53,255,0
58045041,58045042,53,255,0
58051188,58051188,53,255,0
58057331,58057332,53,255,0
