t1,t2,command,measured,zero
126266140,126266140,47,256,0
126273387,126273387,47,256,0
126279535,126279535,47,256,0
126285683,126285684,47,257,0
126291831,126291832,47,257,0
126297978,126297978,47,257,0
126304800,126304801,47,256,0
126310947,126310947,47,256,0
126317094,126317095,47,256,0
126323461,126323463,48,256,0
126329611,126329612,48,256,0
126335758,126335759,48,257,0
126341907,126341907,48,257,0
126348053,126348054,48,257,0
126355356,126355356,48,257,0
126361506,126361506,48,257,0
126367653,126367653,48,256,0
126373802,126373803,48,256,0
126379951,126379951,48,256,0
126386768,126386769,48,256,0
126392916,126392917,48,256,0
126399065,126399065,48,256,0
126405379,126405380,48,256,0
126411529,126411529,48,256,0
126417676,126417676,48,256,0
126423829,126423829,48,256,0
126429979,126429979,48,256,0
126437216,126437217,48,256,0
126443364,126443365,48,256,0
126449512,126449513,48,256,0
126455660,126455660,48,256,0
126461812,126461812,48,256,0
126468627,126468628,48,256,0
126474774,126474775,48,256,0
126480919,126480920,48,257,0
126487255,126487255,48,257,0
126493400,126493401,48,257,0
126499549,126499550,48,256,0
126505698,126505699,48,256,0
126511847,126511847,48,256,0
126519128,126519128,48,256,0
126525279,126525279,48,256,0
126531423,126531423,48,257,0
126537568,126537569,48,257,0
126543718,126543718,48,257,0
126550531,126550531,48,256,0
126556679,126556680,48,256,0
126562831,126562831,48,256,0
126569174,126569175,48,256,0
126575322,126575323,48,256,0
126581474,126581475,48,256,0
126587625,126587626,48,256,0
126593775,126593775,48,256,0
126601048,126601048,48,256,0
126607198,126607199,48,256,0
126613344,126613344,48,256,0
126619494,126619495,48,256,0
126625646,126625646,48,256,0
126632457,126632457,48,256,0
126638604,126638605,48,256,0
126644757,126644757,48,256,0
126651133,126651133,48,256,0
126657282,126657282,48,256,0
126663437,126663438,48,256,0
126669585,126669586,48,256,0
126675734,126675734,48,256,0
126682893,126682893,48,256,0
126689042,126689043,48,256,0
126695191,126695191,48,254,0
126701337,126701337,48,254,0
126707484,126707485,48,254,0
126714294,126714295,48,255,0
126720442,126720443,48,255,0
126726592,126726593,48,255,0
126732945,126732945,48,255,0
126739101,126739102,48,255,0
126745255,126745256,48,255,0
126751402,126751402,48,255,0
126757549,126757549,48,253,0
126764830,126764831,48,253,0
126770979,126770979,48,253,0
126777126,126777127,48,252,0
126783276,126783276,48,252,0
126789421,126789422,48,254,0
126796726,126796726,48,254,0
126802871,126802872,48,254,0
126809019,126809019,48,255,0
126815170,126815170,48,255,0
126821317,126821318,48,255,0
126828142,126828143,48,253,0
126834287,126834288,48,253,0
126840432,126840433,48,252,0
126846878,126846879,48,252,0
126853027,126853027,48,252,0
126859174,126859175,48,252,0
126865322,126865323,48,252,0
126871466,126871466,48,254,0
126878631,126878632,48,254,0
126884786,126884787,48,254,0
126890932,126890933,48,255,0
126897080,126897080,48,255,0
126903229,126903229,48,255,0
126910049,126910050,48,253,0
126916198,126916198,48,253,0
126922344,126922345,48,254,0
126928687,126928688,48,254,0
126934833,126934834,48,254,0
126940978,126940979,48,255,0
126947131,126947132,48,255,0
126953276,126953277,48,253,0
126960449,126960449,48,253,0
126966599,126966599,48,253,0
126972743,126972744,48,254,0
126978894,126978895,48,254,0
126985045,126985046,48,254,0
126991904,126991904,48,253,0
126998050,126998051,48,253,0
127004204,127004204,48,252,0
127010662,127010663,48,252,0
127016814,127016815,48,252,0
127022961,127022962,48,254,0
127029110,127029110,48,254,0
127035257,127035258,48,255,0
127042434,127042434,48,255,0
127048582,127048583,48,255,0
127054732,127054732,48,255,0
127060883,127060883,48,255,0
127067032,127067033,48,255,0
127073846,127073847,48,255,0
127079995,127079995,48,255,0
127086144,127086145,48,255,0
127092439,127092439,48,255,0
127098627,127098627,48,255,0
127104778,127104778,48,255,0
127110927,127110928,48,255,0
127117075,127117076,48,255,0
127124327,127124327,48,255,0
127130477,127130478,48,255,0
127136626,127136627,48,256,0
127142776,127142776,48,256,0
127148926,127148927,48,256,0
127155796,127155797,48,256,0
127161946,127161947,48,256,0
127168097,127168097,48,256,0
127174420,127174421,48,256,0
127180571,127180571,48,256,0
127186720,127186721,48,256,0
127192867,127192868,48,256,0
127199018,127199018,48,256,0
127206211,127206212,48,256,0
127212360,127212361,48,256,0
127218512,127218512,48,254,0
127224665,127224666,48,254,0
127230816,127230816,48,253,0
127238077,127238077,48,253,0
127244231,127244231,48,253,0
