t1,t2,command,measured
1410294,53,276,"
"
101413044,101413045,53,276
101415798,101415799,53,276
101419305,101419305,53,276
101422053,101422054,53,276
101424811,101424811,53,276
101427563,101427563,53,276
101430307,101430307,53,276
101433063,101433063,53,276
101436488,101436488,53,276
101439239,101439239,53,276
101441982,101441983,53,276
101444733,101444733,53,276
101447482,101447483,53,276
101450232,101450233,53,276
101453730,101453730,53,276
101456486,101456486,53,276
101459234,101459234,53,276
101461976,101461977,53,276
101464729,101464730,53,276
101467477,101467477,53,276
101470976,101470977,53,276
101473725,101473726,53,276
101476479,101476479,53,276
101479222,101479222,53,276
101481970,101481970,53,276
101484719,101484719,53,276
101488179,101488180,53,275
101490928,101490928,53,275
101493676,101493676,53,275
101496430,101496431,53,275
101499177,101499178,53,275
101501929,101501930,53,275
101505503,101505503,53,276
101508254,101508255,53,276
101511001,101511001,53,276
101513755,101513756,53,276
101516502,101516503,53,276
101519253,101519254,53,276
101522707,101522707,53,276
101525454,101525455,53,276
101528203,101528204,53,276
101530948,101530948,53,276
101533700,101533700,53,276
101536446,101536446,53,276
101540019,101540020,53,276
101542766,101542766,53,276
101545517,101545518,53,276
101548261,101548261,53,276
101551011,101551011,53,276
101553758,101553758,53,276
101557320,101557321,53,276
101560069,101560070,53,276
101562815,101562815,53,276
101565573,101565573,53,276
101568321,101568322,53,276
101571075,101571075,53,276
101574585,101574585,53,276
101577335,101577336,53,276
101580075,101580076,53,276
101582824,101582825,53,276
101585574,101585575,53,276
101588321,101588322,53,276
101591068,101591069,53,276
101594459,101594459,53,276
101597206,101597207,53,276
101599953,101599954,53,276
101602707,101602707,53,276
101605450,101605450,53,276
101608202,101608203,53,276
101611589,101611590,53,276
101614338,101614338,53,276
101617090,101617090,53,276
101619839,101619839,53,276
101622595,101622596,53,276
101626089,101626089,53,276
101628839,101628840,53,276
101631589,101631589,53,276
101634345,101634345,53,276
101637092,101637093,53,276
101639847,101639848,53,276
101643424,101643425,53,276
101646171,101646171,53,276
101648921,101648921,53,276
101651673,101651674,53,276
101654428,101654428,53,276
101657176,101657176,53,276
101660604,101660604,53,276
101663353,101663354,53,276
101666108,101666109,53,276
101668858,101668858,53,276
101671610,101671611,53,276
101674358,101674358,53,276
101677824,101677825,53,276
101680580,101680581,53,276
101683328,101683329,53,276
101686083,101686083,53,276
101688831,101688832,53,276
101691585,101691586,53,276
101695126,101695126,53,276
101697877,101697877,53,276
101700631,101700632,53,276
101703385,101703385,53,276
101706134,101706135,53,276
101708883,101708884,53,276
101712401,101712402,53,276
101715147,101715147,53,276
101717898,101717898,53,276
101720648,101720648,53,276
101723401,101723401,53,276
101726150,101726150,53,276
101729608,101729609,53,276
101732355,101732355,53,276
101735109,101735110,53,276
101737857,101737858,53,276
101740609,101740610,53,276
101743361,101743361,53,276
101746818,101746819,53,276
101749572,101749573,53,276
101752322,101752323,53,276
101755073,101755074,53,276
101757818,101757819,53,276
101760572,101760573,53,276
101764083,101764084,53,275
101766840,101766840,53,275
101769590,101769590,53,275
101772339,101772339,53,275
101775095,101775096,53,275
101777842,101777843,53,275
101781397,101781398,53,276
101784145,101784146,53,276
101786900,101786901,53,276
101789649,101789650,53,276
101792402,101792403,53,276
101795146,101795146,53,276
101798580,101798581,53,276
101801336,101801337,53,276
101804083,101804083,53,276
101806838,101806839,53,276
101809587,101809587,53,276
101812339,101812340,53,276
101815810,101815810,53,275
101818568,101818569,53,275
101821316,101821317,53,275
101824072,101824072,53,275
101826817,101826817,53,275
101829565,101829565,53,275
101833097,101833098,53,276
101835846,101835846,53,276
101838605,101838605,53,276
101841355,101841355,53,276
101844109,101844109,53,276
101846855,101846856,53,276
101850432,101850432,53,276
101853179,101853179,53,276
101855931,101855932,53,276
101858681,101858681,53,276
101861428,101861429,53,276
101864180,101864180,53,276
101867739,101867739,53,276
101870493,101870494,53,276
101873241,101873241,53,276
101875995,101875995,53,276
101878741,101878741,53,276
101881495,101881496,53,276
101884922,101884923,53,276
101887678,101887678,53,276
101890426,101890426,53,276
101893172,101893172,53,276
101895925,101895926,53,276
101898673,101898673,53,276
101902203,101902204,53,276
101904946,101904947,53,276
101907700,101907701,53,276
101910446,101910446,53,276
101913193,101913194,53,276
101915940,101915941,53,276
101919439,101919439,53,276
101922182,101922182,53,276
101924927,101924928,53,276
101927678,101927678,53,276
101930424,101930424,53,276
101933179,101933179,53,276
101936591,101936591,53,276
101939346,101939346,53,276
101942091,101942092,53,276
101944841,101944841,53,276
101947585,101947585,53,276
101950339,101950340,53,276
101953766,101953767,53,276
101956513,101956514,53,276
101959267,101959267,53,276
101962010,101962011,53,276
101964762,101964763,53,276
101967509,101967509,53,276
101970941,101970941,53,276
101973689,101973689,53,276
101976441,101976441,53,276
101979186,101979187,53,276
101981930,101981931,53,276
101984685,101984686,53,276
101988106,101988107,53,276
101990864,101990865,53,276
101993612,101993612,53,276
101996365,101996365,53,276
101999111,101999111,53,276
102001862,102001863,53,276
102005436,102005437,53,276
102008194,102008194,53,276
102010945,102010945,53,276
102013690,102013691,53,276
102016446,102016447,53,276
102019195,102019196,53,276
102022742,102022743,53,276
102025494,102025495,53,276
102028249,102028249,53,276
102030995,102030996,53,276
102033751,102033752,53,276
102036503,102036505,54,276
102040068,102040068,54,276
102042818,102042819,54,276
102045570,102045571,54,276
102048326,102048326,54,276
102051075,102051076,54,276
102053832,102053832,54,276
102057310,102057311,54,276
102060067,102060067,54,276
102062816,102062816,54,276
102065575,102065576,54,276
102068328,102068329,54,276
102071083,102071083,54,276
102074599,102074599,54,276
102077348,102077348,54,276
102080101,102080102,54,276
102082848,102082848,54,276
102085607,102085607,54,276
102088357,102088357,54,276
102091790,102091791,54,276
102094539,102094540,54,276
102097292,102097292,54,276
102100044,102100044,54,276
102102801,102102802,54,276
102105548,102105549,54,276
102109073,102109074,54,276
102111829,102111829,54,276
102114578,102114579,54,276
102117335,102117335,54,276
102120083,102120083,54,276
102122838,102122839,54,276
102126410,102126410,54,276
102129163,102129164,54,276
102131904,102131905,54,276
102134657,102134658,54,276
102137411,102137411,54,276
102140157,102140158,54,276
102143684,102143685,54,276
102146432,102146432,54,276
102149188,102149188,54,276
102151936,102151936,54,276
102154690,102154691,54,276
102157437,102157438,54,276
102160968,102160969,54,276
102163716,102163716,54,276
102166464,102166464,54,276
102169219,102169220,54,276
102171964,102171964,54,276
102174720,102174721,54,276
102178208,102178209,54,276
102180961,102180961,54,276
102183710,102183711,54,276
102186466,102186466,54,276
102189208,102189209,54,276
102191965,102191966,54,276
102195446,102195446,54,276
102198191,102198192,54,276
102200948,102200948,54,276
102203694,102203695,54,276
102206451,102206451,54,276
102209194,102209195,54,276
102212759,102212759,54,276
102215510,102215511,54,276
102218268,102218269,54,276
102221015,102221016,54,276
102223772,102223772,54,276
102226525,102226525,54,276
102229942,102229942,54,276
102232696,102232696,54,276
102235446,102235447,54,276
102238203,102238203,54,276
102240952,102240953,54,276
102243710,102243711,54,276
102247172,102247172,54,276
102249928,102249928,54,276
102252676,102252676,54,276
102255429,102255430,54,276
102258176,102258176,54,276
102260927,102260928,54,276
102264407,102264408,54,276
102267156,102267156,54,276
102269906,102269907,54,276
102272654,102272655,54,276
102275409,102275410,54,276
102278154,102278155,54,276
102281631,102281631,54,276
102284384,102284385,54,276
102287142,102287142,54,276
102289889,102289889,54,276
102292642,102292642,54,276
102295395,102295396,54,276
102298881,102298882,54,276
102301641,102301641,54,276
102304385,102304386,54,276
102307140,102307140,54,276
102309883,102309884,54,276
102312634,102312635,54,276
102316048,102316049,54,276
102318799,102318800,54,276
102321548,102321548,54,276
102324295,102324296,54,276
102327052,102327052,54,276
102329795,102329796,54,276
102333216,102333217,54,278
102335963,102335964,54,278
102338718,102338718,54,278
