,time,flex sensor,"actuator position, command","actuator position, measured",OldForce,Trial Number,Target Angle,force
0,138.829,180.0,4.0,4.084880636604774,-22.76,0.0,0.0,-0.34789062500000156
1,139.282,180.0,4.0,4.021220159151193,-22.76,0.0,0.0,-0.34789062500000156
2,139.734,180.0,4.0,4.021220159151193,-22.76,0.0,0.0,-0.34789062500000156
3,140.186,180.0,4.0,4.063660477453581,-22.76,0.0,0.0,-0.34789062500000156
4,140.638,180.0,4.0,3.9151193633952235,-22.76,0.0,0.0,-0.34789062500000156
5,141.09,180.0,4.0,4.0,-22.76,0.0,0.0,-0.34789062500000156
6,141.543,180.0,4.0,3.978779840848805,-22.85,0.0,0.0,-0.4378906250000014
7,141.995,180.0,4.0,3.9575596816976137,-22.68,0.0,0.0,-0.2678906249999997
8,142.447,180.0,4.0,3.9151193633952235,-22.68,0.0,0.0,-0.2678906249999997
9,142.899,180.0,4.0,4.0,-22.76,0.0,0.0,-0.34789062500000156
10,143.351,180.0,4.0,3.978779840848805,-22.68,0.0,0.0,-0.2678906249999997
11,143.805,180.0,4.0,4.084880636604774,-22.59,0.0,0.0,-0.17789062499999986
12,144.257,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
13,144.709,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
14,145.161,180.0,4.0,3.9575596816976137,-22.76,0.0,0.0,-0.34789062500000156
15,145.614,180.0,4.0,4.021220159151193,-22.76,0.0,0.0,-0.34789062500000156
16,146.066,180.0,4.0,3.9151193633952235,-22.68,0.0,0.0,-0.2678906249999997
17,146.518,180.0,4.0,3.9575596816976137,-22.68,0.0,0.0,-0.2678906249999997
18,146.97,180.0,4.0,3.978779840848805,-22.68,0.0,0.0,-0.2678906249999997
19,147.422,180.0,4.0,3.978779840848805,-22.68,0.0,0.0,-0.2678906249999997
20,147.875,180.0,4.0,3.9575596816976137,-22.5,0.0,0.0,-0.087890625
21,148.327,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
22,148.779,180.0,4.0,3.893899204244033,-22.68,0.0,0.0,-0.2678906249999997
23,149.231,180.0,4.0,4.0,-22.68,0.0,0.0,-0.2678906249999997
24,149.684,180.0,4.0,4.042440318302388,-22.68,0.0,0.0,-0.2678906249999997
25,150.136,180.0,4.0,3.978779840848805,-22.59,0.0,0.0,-0.17789062499999986
26,150.589,180.0,4.0,3.978779840848805,-22.68,0.0,0.0,-0.2678906249999997
27,151.042,180.0,4.0,4.0,-22.59,0.0,0.0,-0.17789062499999986
28,151.494,180.0,4.0,3.9151193633952235,-22.59,0.0,0.0,-0.17789062499999986
29,151.946,180.0,4.0,3.978779840848805,-22.59,0.0,0.0,-0.17789062499999986
30,152.398,180.0,4.0,4.063660477453581,-22.59,0.0,0.0,-0.17789062499999986
31,152.85,180.0,4.0,4.084880636604774,-22.59,0.0,0.0,-0.17789062499999986
32,153.303,180.0,4.0,4.127320954907162,-22.59,0.0,0.0,-0.17789062499999986
33,153.755,180.0,4.0,4.063660477453581,-22.59,0.0,0.0,-0.17789062499999986
34,154.207,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
35,154.659,180.0,4.0,3.936339522546419,-22.76,0.0,0.0,-0.34789062500000156
36,155.111,180.0,4.0,4.084880636604774,-22.76,0.0,0.0,-0.34789062500000156
37,155.564,180.0,4.0,3.9575596816976137,-22.68,0.0,0.0,-0.2678906249999997
38,156.016,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
39,156.468,180.0,4.0,4.042440318302388,-22.68,0.0,0.0,-0.2678906249999997
40,156.921,180.0,4.0,3.936339522546419,-22.68,0.0,0.0,-0.2678906249999997
41,157.373,180.0,4.0,4.1061007957559665,-22.59,0.0,0.0,-0.17789062499999986
42,157.825,180.0,4.0,4.042440318302388,-22.59,0.0,0.0,-0.17789062499999986
43,158.279,180.0,4.0,3.9151193633952235,-22.68,0.0,0.0,-0.2678906249999997
44,158.731,180.0,4.0,3.9151193633952235,-22.68,0.0,0.0,-0.2678906249999997
45,159.183,180.0,4.0,4.021220159151193,-22.68,0.0,0.0,-0.2678906249999997
46,159.635,180.0,4.0,3.893899204244033,-22.76,0.0,0.0,-0.34789062500000156
